question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9849025974025973,0.49902477785372523,0.01849458094698111,0.0
Q1a,LM,0.9572881066302118,0.5016236329460014,0.024800625995024847,0.0
Q1a,AL,0.9396103896103896,0.5021161141490089,0.027341682292285747,0.0
Q1a,RL,0.9585868079289132,0.49495980006835266,0.023326789298492412,0.0
Q1b,V1,1.0,0.523875,0.06766403679208034,0.0
Q1b,LM,1.0,0.5103749999999999,0.07104257086423604,0.0
Q1b,AL,1.0,0.512625,0.07018936440088341,0.0
Q1b,RL,1.0,0.513125,0.06634132855920206,0.0
Q1c,V1,0.7871794871794872,0.33473128205128205,0.027642548476199517,0.0
Q1c,LM,0.742974358974359,0.3347230769230769,0.02818795701087743,0.0
Q1c,AL,0.6121025641025641,0.3324276923076923,0.0264688841126141,0.0
Q1c,RL,0.7183589743589744,0.33789538461538465,0.027886383481816664,0.0
