area,true,predicted,proportion
V1,Cinematic,Cinematic,0.75
V1,Cinematic,Sports1M,0.0859375
V1,Cinematic,Rendered,0.1640625
V1,Sports1M,Cinematic,0.09375
V1,Sports1M,Sports1M,0.6953125
V1,Sports1M,Rendered,0.2109375
V1,Rendered,Cinematic,0.2265625
V1,Rendered,Sports1M,0.1640625
V1,Rendered,Rendered,0.609375
LM,Cinematic,Cinematic,0.6953125
LM,Cinematic,Sports1M,0.140625
LM,Cinematic,Rendered,0.1640625
LM,Sports1M,Cinematic,0.125
LM,Sports1M,Sports1M,0.7265625
LM,Sports1M,Rendered,0.1484375
LM,Rendered,Cinematic,0.15625
LM,Rendered,Sports1M,0.1640625
LM,Rendered,Rendered,0.6796875
AL,Cinematic,Cinematic,0.6171875
AL,Cinematic,Sports1M,0.140625
AL,Cinematic,Rendered,0.2421875
AL,Sports1M,Cinematic,0.1171875
AL,Sports1M,Sports1M,0.7109375
AL,Sports1M,Rendered,0.171875
AL,Rendered,Cinematic,0.3046875
AL,Rendered,Sports1M,0.171875
AL,Rendered,Rendered,0.5234375
RL,Cinematic,Cinematic,0.71875
RL,Cinematic,Sports1M,0.1015625
RL,Cinematic,Rendered,0.1796875
RL,Sports1M,Cinematic,0.125
RL,Sports1M,Sports1M,0.7109375
RL,Sports1M,Rendered,0.1640625
RL,Rendered,Cinematic,0.140625
RL,Rendered,Sports1M,0.1875
RL,Rendered,Rendered,0.671875
