question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8272265892002734,0.04245598934136667,0.5
Q1a,V1,50,0.9049653964456595,0.028086916772846714,0.5
Q1a,V1,100,0.9411346548188654,0.02145974079398385,0.5
Q1a,V1,200,0.9703622693096378,0.012092056188557217,0.5
Q1a,V1,347,0.9901294429254955,0.004398592688317278,0.5
Q1a,LM,25,0.8406771189336979,0.03314732452405316,0.5
Q1a,LM,50,0.9180908236500344,0.031579600192027026,0.5
Q1a,LM,100,0.9534911141490088,0.016507784749274702,0.5
Q1a,LM,200,0.9834407040328094,0.008227917615031733,0.5
Q1a,LM,347,0.9952106117566644,0.002862546309578307,0.5
Q1a,AL,25,0.7855156356801095,0.05413435549212449,0.5
Q1a,AL,50,0.8584906869446345,0.040909864529372175,0.5
Q1a,AL,100,0.9231557587149695,0.027234238540841036,0.5
Q1a,AL,200,0.9501341421736159,0.011806815594545992,0.5
Q1a,AL,347,0.9695616883116884,0.0,0.5
Q1a,RL,25,0.8544933356117568,0.009152659821234017,0.5
Q1a,RL,50,0.9013926862611074,0.02333332899843839,0.5
Q1a,RL,100,0.9323004955570747,0.017892769730555237,0.5
Q1a,RL,200,0.9675534005468215,0.012074836457356434,0.5
Q1a,RL,347,0.9786295283663705,0.006466247094404012,0.5
Q1b,V1,25,0.9049999999999999,0.04815340071064554,0.5
Q1b,V1,50,0.95625,0.03271563082075599,0.5
Q1b,V1,100,0.9862500000000001,0.01305038313613819,0.5
Q1b,V1,200,0.9962500000000001,0.005728219618694779,0.5
Q1b,V1,347,0.9974999999999999,0.004999999999999982,0.5
Q1b,LM,25,0.93125,0.038426065372348495,0.5
Q1b,LM,50,0.96,0.023584952830141503,0.5
Q1b,LM,100,0.97625,0.01891593243802694,0.5
Q1b,LM,200,0.9924999999999999,0.010000000000000004,0.5
Q1b,LM,347,0.9912500000000002,0.005728219618694779,0.5
Q1b,AL,25,0.9,0.027386127875258303,0.5
Q1b,AL,50,0.9425000000000001,0.033634060117684265,0.5
Q1b,AL,100,0.9725000000000001,0.019202864369671536,0.5
Q1b,AL,200,0.9950000000000001,0.006123724356957924,0.5
Q1b,AL,347,1.0,0.0,0.5
Q1b,RL,25,0.9075000000000001,0.044087980221371004,0.5
Q1b,RL,50,0.9487500000000001,0.02981715110469141,0.5
Q1b,RL,100,0.9537500000000001,0.017721808598447287,0.5
Q1b,RL,200,0.9725000000000001,0.013462912017836282,0.5
Q1b,RL,347,0.97,0.011456439237389612,0.5
Q1c,V1,25,0.5285948717948717,0.033570557840385394,0.3333333333333333
Q1c,V1,50,0.5597128205128205,0.025894574099304134,0.3333333333333333
Q1c,V1,100,0.5924820512820512,0.021526543711315158,0.3333333333333333
Q1c,V1,200,0.6445435897435897,0.02241414271295848,0.3333333333333333
Q1c,V1,347,0.6869743589743591,0.02627919684311647,0.3333333333333333
Q1c,LM,25,0.5372923076923077,0.038152638525139754,0.3333333333333333
Q1c,LM,50,0.5764205128205128,0.027397114212862516,0.3333333333333333
Q1c,LM,100,0.6162461538461539,0.04324587624231718,0.3333333333333333
Q1c,LM,200,0.6683384615384614,0.014714360323745476,0.3333333333333333
Q1c,LM,347,0.715548717948718,0.013940133104802795,0.3333333333333333
Q1c,AL,25,0.5310974358974359,0.029204695523685282,0.3333333333333333
Q1c,AL,50,0.5570871794871795,0.02468388758638686,0.3333333333333333
Q1c,AL,100,0.6097641025641025,0.03333241182158174,0.3333333333333333
Q1c,AL,200,0.6388410256410255,0.016609245462858815,0.3333333333333333
Q1c,AL,347,0.6853333333333335,0.0,0.3333333333333333
Q1c,RL,25,0.5262358974358974,0.02677503817544458,0.3333333333333333
Q1c,RL,50,0.5633846153846154,0.024655309502286064,0.3333333333333333
Q1c,RL,100,0.5836923076923076,0.02941670061069386,0.3333333333333333
Q1c,RL,200,0.6340615384615386,0.016311010789595577,0.3333333333333333
Q1c,RL,347,0.6759282051282052,0.015247736383666024,0.3333333333333333
