question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.04278904647983592,0.018321962840051803,7.555220876380673e-10,4.5331325258284044e-09,True
Q1a,V1,AL,0.07342310321257693,0.009228992345106345,7.546683182364461e-10,4.528009909418676e-09,True
Q1a,V1,RL,0.05194677033492818,0.019888560332084984,3.552713678800501e-15,2.1316282072803006e-14,True
Q1a,LM,AL,0.035101332877648765,0.01216543416674667,7.553512643873762e-10,4.532107586324258e-09,True
Q1a,LM,RL,0.013625000000000005,0.022002706679608,0.00014253035612021847,0.0008551821367213108,True
Q1a,AL,RL,-0.01975982570061528,0.014153768470351885,1.2648972427105204e-08,7.589383456263122e-08,True
Q1b,V1,LM,0.005499999999999981,0.008717797887081326,0.000559094393452428,0.003354566360714568,True
Q1b,V1,AL,0.020750000000000036,0.006427480066091205,1.7769853124621114e-10,1.0661911874772668e-09,True
Q1b,V1,RL,0.013749999999999993,0.009762812094883326,1.7515272244886042e-08,1.0509163346931625e-07,True
Q1b,LM,AL,0.015500000000000055,0.005338539126015637,6.919098821041272e-11,4.1514592926247633e-10,True
Q1b,LM,RL,0.008500000000000014,0.010735455276791954,4.334656122412281e-06,2.6007936734473684e-05,True
Q1b,AL,RL,-0.006000000000000034,0.012559856687080482,9.688431932696772e-05,0.0005813059159618062,True
Q1c,V1,LM,0.01597333333333334,0.03571901629637641,0.004459422606641894,0.026756535639851364,True
Q1c,V1,AL,0.006750769230769238,0.02923818666123711,0.09023295686870952,0.5413977412122571,False
Q1c,V1,RL,0.03825641025641025,0.03803662168340044,1.6183291151605772e-08,9.709974690963463e-08,True
Q1c,LM,AL,-0.011216410256410262,0.023922089275240397,0.0051184444296129014,0.03071066657767741,True
Q1c,LM,RL,0.020289230769230757,0.03342291199786207,8.237559280566131e-05,0.0004942535568339679,True
Q1c,AL,RL,0.030418461538461537,0.022783881541994955,9.528919070628027e-09,5.7173514423768165e-08,True
