trial_idx,hash,type,short_name,movie_name,label,is_natural
0,NWqTwzuwGakTM37kHKK4,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
1,ik5DKO+EInbAGwcH0BfB,Clip,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,Sports1M,True
2,dHvGJAD7cN8KboJxFF4/,Clip,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,Sports1M,True
3,zlQ935qW1A8YOiseS7gY,Clip,Rendered,medievalsewer_132-1-6-70-0_54.210.37.143,Rendered,True
4,XoerXglPXrngFUI5uTG6,Clip,sports1m,1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race,Sports1M,True
5,EKhyHmLj04EcBoR25T/e,Clip,Rendered,americandiner_079-1-5-70-0_184.73.123.94,Rendered,True
6,4tIOoaR5VNXdEFB3JLsd,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True
7,wrhbg7/9C5fsnGqt95w/,Clip,sports1m,2012 UNIV WORLDS Erickson (USA) dec Allikma (EST) 120 kg Greco repechage,Sports1M,True
8,gnKtNfR9QYEW0PRkfRU4,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
9,LfckM0X1gCCgUlsmXIea,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
10,Ta17hPcaONVDy5sPjE9z,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
11,mpoHL5UE5tDtz7b51b3H,Clip,Rendered,americandiner_042-1-5-70-0_54.173.97.201,Rendered,True
12,MaN8zZQItdhsFNBq5/yl,Clip,Rendered,run213-darkTemple-1-0,Rendered,True
13,18PTv0aCUhaUeL2r9kDd,Clip,sports1m,2012 July 10 Midweek MTB Corner Canyon XC Mountain Bike Race (Stabilized),Sports1M,True
14,cK20wOm48y1gpxBcZuzN,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
15,s8DvZS/fghphUcTsLOzM,Clip,Cinematic,The Matrix (1999),Cinematic,True
16,8IyLxfa6UikBgn/lOdpD,Clip,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,Sports1M,True
17,AXD+rrWG8VbV+xLvzwfb,Clip,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,Sports1M,True
18,WrMfYTvJdd459MUdMt7T,Monet2,UNKNOWN,UNKNOWN,Monet2,False
19,Sqv4lziRTQgtkUPYRRiM,Monet2,UNKNOWN,UNKNOWN,Monet2,False
20,kEq0YeYOSSBtM1ZkWA1a,Monet2,UNKNOWN,UNKNOWN,Monet2,False
21,zNdXAWhWIVMJQLExa0hs,Monet2,UNKNOWN,UNKNOWN,Monet2,False
22,G9W/xoVUn3JHvXiTyD7F,Clip,Rendered,ancienttomb_007-1-4-70-0_184.73.123.94,Rendered,True
23,kVaKEX9+0nNaXASZ0dPH,Clip,Rendered,run293-darkTemple-1-0,Rendered,True
24,JrAmeuY8c4ZqYC3QH3Me,Clip,sports1m,2009 Skijoring Event in Whitefish Montana (part 8),Sports1M,True
25,LFEr6srqyuWVmHzKh0yN,Clip,Rendered,mountainlake_008-1-0-70-0_54.209.141.225,Rendered,True
26,VUf8H5ICmdQ0WgOcM04f,Clip,sports1m,2012 USCS Lambert Park XC Mountain Bike Race (Stabilized),Sports1M,True
27,z3tbhkerqvPr4YFycnOw,Clip,Rendered,run301-AmericanDiner-1-0,Rendered,True
28,0w6/eNfvRnhPJhhosuIS,Clip,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),Cinematic,True
29,i41a9MfyVoEAcNiKy4P1,Clip,sports1m,14TH Annual Texas Showdown at the Hoedown - Eisenbergs Skatepark - Inline Street Competition,Sports1M,True
