trial_idx,hash,type,short_name,movie_name,label,is_natural
0,Z8NqAqiB4QSAqiTc1GeC,Trippy,UNKNOWN,UNKNOWN,Trippy,False
1,zFPzr7PAG6xWnxU1GKE5,Trippy,UNKNOWN,UNKNOWN,Trippy,False
2,FwG4V5nAZdXPlcAEu/X9,Trippy,UNKNOWN,UNKNOWN,Trippy,False
3,Vdi70xOyBQEeDGhPVulx,Trippy,UNKNOWN,UNKNOWN,Trippy,False
4,PqaVGn59jv5yAg4sC4DY,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
5,gVvv/Y5k6P7xonY1+wAA,Clip,sports1m,2011 July 20 Weekly Race Series Sundance XC Mountain Bike Race,Sports1M,True
6,HRBbzDhkkzW/hwmbkVeX,Clip,sports1m,2011 August 2 Midweek MTB Solitude XC Mountain Bike Race,Sports1M,True
7,suOZoGFNlT4WyhxyVIsx,Clip,sports1m,2011 Canadian Road Cycling Championships - Part 2,Sports1M,True
8,Ack79ym0VWlxHG0P9Y7+,Clip,Rendered,run234-kowloon-1-0,Rendered,True
9,SvPkCdR7nxDrDTTp6xOV,Clip,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,Sports1M,True
10,zBgDOMaUepG8x1GsI4B7,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
11,gV2bBUbkfS2MZGi4lO2n,Clip,sports1m,2 of 2 - 2011 ICup Cholla Challenge XC Mountain Bike Race,Sports1M,True
12,Y0PRZzVmvNTkuT3KH0eV,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
13,9N0tOwj3G50lQWWZ+a+s,Clip,sports1m,2011 July 6 Weekly Race Series Sundance XC Mountain Bike Race,Sports1M,True
14,42HXdhZfjqejlaTw70cL,Clip,sports1m,2011 July 20 Weekly Race Series Sundance XC Mountain Bike Race,Sports1M,True
15,JsQ+Uk/jNey6ECKuvsH8,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
16,ubOIjeUGbsNAJqMPIDqU,Clip,Rendered,mountainlake_066-1-0-70-0_54.205.66.32,Rendered,True
17,ihsP/Q14/eSpxdQLR3F4,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
18,ClffawlgRfZbgKwX6zRB,Clip,Rendered,ancienttomb_100-1-4-70-0_54.209.141.225,Rendered,True
19,aedxogPGpb5IiLcjLo8c,Clip,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,Sports1M,True
20,3wXTReOQa7mnr6Oz8aUf,Clip,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,Sports1M,True
21,0eP/PPhAGmbJ2peZOa/E,Clip,Rendered,ancienttomb_105-1-4-70-0_54.89.40.102,Rendered,True
22,PzVgrCY1ZERG4O1/lARR,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
23,DxN91Pf7bJbqXbaJYqk6,Clip,Rendered,ancienttomb_088-1-4-70-0_54.173.97.201,Rendered,True
24,pAKPy4viKb/+tOs8v6F8,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
25,R59EujKa9Gmmok99eRmP,Clip,Rendered,ancienttomb_002-1-4-70-0_54.83.154.242,Rendered,True
26,npBDYeQS+WBRMY6CsrvP,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
27,9RP96rPjWDgR2NWiQlhQ,Clip,Rendered,swamp_069-1-11-70-0_54.209.141.225,Rendered,True
28,KjDfO15MEsKyQ1ecL7gs,Clip,Rendered,run257-mountainLake-1-0,Rendered,True
29,W72D46ICk0GV1uh0E98o,Clip,Cinematic,The Matrix (1999),Cinematic,True
30,rKhBb2Q+dILxw3t33TsJ,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
31,YfqXNa8nksH/H4Q7tw5G,Clip,Rendered,lowpolyjungle_118-1-9-70-0_54.83.154.242,Rendered,True
32,OFk94miLCLRW7fhR6BQE,Clip,Rendered,swamp_075-1-11-70-0_54.165.28.255,Rendered,True
33,VIxFQLvrzWwvLKX9CM5N,Clip,sports1m,1995 bmx vert bs contest  mat hoffman bike park okc,Sports1M,True
34,GjCMo2GkJp6y5vricadg,Clip,Rendered,americandiner_005-1-5-70-0_54.165.28.255,Rendered,True
35,ecUQJtcERZJGdqza1k7h,Clip,sports1m,2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam,Sports1M,True
36,5zQTb77qI+ig8rigx1XU,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
37,Oup5uAZxF2G7zEJkT+ui,Clip,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,Sports1M,True
38,KXdTNAGMo1gCWz2Ge8zr,Clip,Rendered,run82-ancientTomb-1-0,Rendered,True
39,7UETOWO5Z8aWuHDBJ2GG,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
40,Mg5bLgoNvze3EPLB9rbZ,Clip,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,Sports1M,True
41,yfFAPn1QpVQmEC2iXg07,Clip,Rendered,swamp_103-1-11-70-0_54.162.127.170,Rendered,True
42,fSfoxctVyPEoVzFOpsAw,Clip,Rendered,ancienttomb_068-1-4-70-0_34.239.124.192,Rendered,True
43,5Q4+LRPdnmpiazfLNOdJ,Clip,Rendered,mountainlake_006-1-0-70-0_184.73.123.94,Rendered,True
44,EyGfkWSsxEsE8f3GX5Ox,Clip,Rendered,lowpolyjungle_079-1-9-70-0_52.87.152.28,Rendered,True
45,Lp/pttdcIH1AZsCOGZuG,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True
46,vQ0qv0nXWSZBtzQW+dEc,Monet2,UNKNOWN,UNKNOWN,Monet2,False
47,YLuStB2eXkgOS+Cescsy,Monet2,UNKNOWN,UNKNOWN,Monet2,False
48,mvR3N9YwQS0rPgjl+32V,Monet2,UNKNOWN,UNKNOWN,Monet2,False
49,yv/S61fYnDSQcA9J6Nk8,Monet2,UNKNOWN,UNKNOWN,Monet2,False
50,j9za5ZMlDp5GE+9jfjLz,Clip,Cinematic,Powaqqatsi: Life in Transformation (1988),Cinematic,True
51,d+S5OTOefHZ/pg28ui9E,Clip,Rendered,ancienttomb_102-1-4-70-0_54.175.147.171,Rendered,True
52,igyt2A+Q8psY4lFd9db4,Clip,sports1m,2009 World Cup UCI Downhill Mountain Bike Mont Sainte Anne Quebec Part 1,Sports1M,True
53,km6R29a5XHNx16GpNzMN,Clip,Rendered,ancienttomb_125-1-4-70-0_54.210.37.143,Rendered,True
54,gF3BEXJJZSkelZiOorEC,Clip,Rendered,mountainlake_015-1-0-70-0_54.209.141.225,Rendered,True
55,uezflb2d5MV6MZMchA6B,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
56,NCr2fl3gG4ut0+Yxoh+E,Clip,Rendered,lowpolyjungle_052-1-9-70-0_54.165.28.255,Rendered,True
57,Pq303B38Le28tOUSE5no,Clip,Rendered,run77-mountainLake-1-0,Rendered,True
58,RYPlFSD6PoJyWuXBjuvZ,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
59,P94q2BfcxyUaO6qbi4ch,Clip,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,Sports1M,True
60,5soCKnZvbd37ulRh/fS3,Clip,sports1m,2009 Skijoring Event in Whitefish Montana (part 5),Sports1M,True
61,IHMQSHElgQJegyFyDbS4,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
62,uFLEahaRhtGTMJBOl0eb,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
63,b3zA9biqVjfizwT4eYGR,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
