question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.01954528366370468,0.020020863609771514,2.741529882075982e-07,1.644917929245589e-06,True
Q1a,V1,AL,0.043146018455228925,0.012112085948366536,7.533040895340024e-10,4.519824537204014e-09,True
Q1a,V1,RL,0.03272752904989744,0.021249220983327464,1.0230632040773825e-09,6.138379224464295e-09,True
Q1a,LM,AL,0.020600393028024584,0.015523489264702138,1.6765699794642043e-08,1.0059419876785227e-07,True
Q1a,LM,RL,0.010181903622693101,0.022099529300660954,0.001654895925714328,0.009929375554285969,True
Q1a,AL,RL,-0.01485457963089541,0.014490981536813264,9.120300987550934e-08,5.472180592530561e-07,True
Q1b,V1,LM,0.007749999999999988,0.012963892162464167,0.0008596062616695416,0.005157637570017249,True
Q1b,V1,AL,0.004999999999999966,0.009682458365518539,0.11133091975553132,0.6679855185331879,False
Q1b,V1,RL,0.01199999999999999,0.014352700094407327,2.4832020736617907e-05,0.00014899212441970745,True
Q1b,LM,AL,-0.0015000000000000234,0.009233092656309701,0.006779832640314331,0.04067899584188599,True
Q1b,LM,RL,0.0055000000000000005,0.012539936203984471,0.011430073508079818,0.06858044104847891,False
Q1b,AL,RL,0.007750000000000032,0.007862092596758217,8.845305589676746e-07,5.307183353806047e-06,True
Q1c,V1,LM,-0.033401025641025636,0.038245831272577156,1.507920117660433e-07,9.047520705962597e-07,True
Q1c,V1,AL,0.013489230769230707,0.029638841122588997,0.001622596838141647,0.009735581028849883,True
Q1c,V1,RL,0.0478051282051282,0.036660888194483446,1.4432899320127035e-10,8.659739592076221e-10,True
Q1c,LM,AL,0.04653128205128198,0.020923644436747865,7.553512643873762e-10,4.532107586324258e-09,True
Q1c,LM,RL,0.08084717948717947,0.024586853636224478,1.7763568394002505e-15,1.0658141036401503e-14,True
Q1c,AL,RL,0.042170256410256485,0.028390302054682,1.1368683772161603e-12,6.821210263296962e-12,True
