question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9807117224880383,0.5023933697881067,0.024048475997903294,0.0
Q1a,LM,0.971637901572112,0.5060073051948052,0.026029657236327712,0.0
Q1a,AL,0.8995428913192072,0.5006466165413533,0.033121107726307324,0.0
Q1a,RL,0.961508885850991,0.5026201298701299,0.027819543760947297,0.0
Q1b,V1,1.0,0.5309999999999999,0.07379193722894122,0.0
Q1b,LM,0.9875,0.5142500000000001,0.06028629612109207,0.0
Q1b,AL,0.9625,0.5235000000000001,0.07187836948623696,0.0
Q1b,RL,0.9625,0.522125,0.06661116178989825,0.0
Q1c,V1,0.7471794871794872,0.3372061538461539,0.03070676092656014,0.0
Q1c,LM,0.7427692307692307,0.3385210256410256,0.0274088941831275,0.0
Q1c,AL,0.6192820512820514,0.3375733333333333,0.026078541038478266,0.0
Q1c,RL,0.6897435897435897,0.3348133333333334,0.029235383369517424,0.0
