area,true,predicted,proportion
V1,Cinematic,Cinematic,0.6015625
V1,Cinematic,Sports1M,0.1875
V1,Cinematic,Rendered,0.2109375
V1,Sports1M,Cinematic,0.15625
V1,Sports1M,Sports1M,0.703125
V1,Sports1M,Rendered,0.140625
V1,Rendered,Cinematic,0.1875
V1,Rendered,Sports1M,0.15625
V1,Rendered,Rendered,0.65625
LM,Cinematic,Cinematic,0.6796875
LM,Cinematic,Sports1M,0.09375
LM,Cinematic,Rendered,0.2265625
LM,Sports1M,Cinematic,0.1171875
LM,Sports1M,Sports1M,0.765625
LM,Sports1M,Rendered,0.1171875
LM,Rendered,Cinematic,0.1953125
LM,Rendered,Sports1M,0.1875
LM,Rendered,Rendered,0.6171875
AL,Cinematic,Cinematic,0.65625
AL,Cinematic,Sports1M,0.1953125
AL,Cinematic,Rendered,0.1484375
AL,Sports1M,Cinematic,0.171875
AL,Sports1M,Sports1M,0.6015625
AL,Sports1M,Rendered,0.2265625
AL,Rendered,Cinematic,0.2265625
AL,Rendered,Sports1M,0.171875
AL,Rendered,Rendered,0.6015625
RL,Cinematic,Cinematic,0.625
RL,Cinematic,Sports1M,0.203125
RL,Cinematic,Rendered,0.171875
RL,Sports1M,Cinematic,0.203125
RL,Sports1M,Sports1M,0.6640625
RL,Sports1M,Rendered,0.1328125
RL,Rendered,Cinematic,0.21875
RL,Rendered,Sports1M,0.1875
RL,Rendered,Rendered,0.59375
