question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.99375,0.5011938226247437,0.020458127049572488,0.0
Q1a,LM,0.9619958988380042,0.49746185064935067,0.030007647711548437,0.0
Q1a,AL,0.9429853041695146,0.5004797505126453,0.03227691827623178,0.0
Q1a,RL,0.9760551948051948,0.5056872009569378,0.029750056707334906,0.0
Q1b,V1,1.0,0.5217499999999999,0.060094196891214056,0.0
Q1b,LM,1.0,0.52175,0.06859345814288707,0.0
Q1b,AL,0.9375,0.5,0.06523994175349944,0.0
Q1b,RL,0.9875,0.5095000000000001,0.06485849982847275,0.0
Q1c,V1,0.7078974358974359,0.33422769230769234,0.02749172974201074,0.0
Q1c,LM,0.6590769230769232,0.33894564102564106,0.028864272208474574,0.0
Q1c,AL,0.4837948717948718,0.33201128205128194,0.028068296138637143,0.0
Q1c,RL,0.5747692307692307,0.33853846153846157,0.029120007423541983,0.0
