area,true,predicted,proportion
V1,Cinematic,Cinematic,0.7578125
V1,Cinematic,Sports1M,0.125
V1,Cinematic,Rendered,0.109375
V1,Cinematic,Monet2,0.0
V1,Cinematic,Trippy,0.0078125
V1,Sports1M,Cinematic,0.1015625
V1,Sports1M,Sports1M,0.71875
V1,Sports1M,Rendered,0.1796875
V1,Sports1M,Monet2,0.0
V1,Sports1M,Trippy,0.0
V1,Rendered,Cinematic,0.1796875
V1,Rendered,Sports1M,0.171875
V1,Rendered,Rendered,0.6484375
V1,Rendered,Monet2,0.0
V1,Rendered,Trippy,0.0
V1,Monet2,Cinematic,0.0
V1,Monet2,Sports1M,0.025
V1,Monet2,Rendered,0.0
V1,Monet2,Monet2,0.975
V1,Monet2,Trippy,0.0
V1,Trippy,Cinematic,0.05
V1,Trippy,Sports1M,0.0
V1,Trippy,Rendered,0.0
V1,Trippy,Monet2,0.0
V1,Trippy,Trippy,0.95
LM,Cinematic,Cinematic,0.7265625
LM,Cinematic,Sports1M,0.109375
LM,Cinematic,Rendered,0.1484375
LM,Cinematic,Monet2,0.0078125
LM,Cinematic,Trippy,0.0078125
LM,Sports1M,Cinematic,0.1171875
LM,Sports1M,Sports1M,0.7578125
LM,Sports1M,Rendered,0.1171875
LM,Sports1M,Monet2,0.0078125
LM,Sports1M,Trippy,0.0
LM,Rendered,Cinematic,0.203125
LM,Rendered,Sports1M,0.1328125
LM,Rendered,Rendered,0.6640625
LM,Rendered,Monet2,0.0
LM,Rendered,Trippy,0.0
LM,Monet2,Cinematic,0.0
LM,Monet2,Sports1M,0.025
LM,Monet2,Rendered,0.025
LM,Monet2,Monet2,0.95
LM,Monet2,Trippy,0.0
LM,Trippy,Cinematic,0.05
LM,Trippy,Sports1M,0.025
LM,Trippy,Rendered,0.0
LM,Trippy,Monet2,0.0
LM,Trippy,Trippy,0.925
AL,Cinematic,Cinematic,0.625
AL,Cinematic,Sports1M,0.1015625
AL,Cinematic,Rendered,0.265625
AL,Cinematic,Monet2,0.0078125
AL,Cinematic,Trippy,0.0
AL,Sports1M,Cinematic,0.109375
AL,Sports1M,Sports1M,0.65625
AL,Sports1M,Rendered,0.203125
AL,Sports1M,Monet2,0.03125
AL,Sports1M,Trippy,0.0
AL,Rendered,Cinematic,0.265625
AL,Rendered,Sports1M,0.1640625
AL,Rendered,Rendered,0.5546875
AL,Rendered,Monet2,0.015625
AL,Rendered,Trippy,0.0
AL,Monet2,Cinematic,0.0
AL,Monet2,Sports1M,0.1
AL,Monet2,Rendered,0.025
AL,Monet2,Monet2,0.875
AL,Monet2,Trippy,0.0
AL,Trippy,Cinematic,0.1
AL,Trippy,Sports1M,0.0
AL,Trippy,Rendered,0.025
AL,Trippy,Monet2,0.0
AL,Trippy,Trippy,0.875
RL,Cinematic,Cinematic,0.6015625
RL,Cinematic,Sports1M,0.1484375
RL,Cinematic,Rendered,0.2421875
RL,Cinematic,Monet2,0.0
RL,Cinematic,Trippy,0.0078125
RL,Sports1M,Cinematic,0.1875
RL,Sports1M,Sports1M,0.6640625
RL,Sports1M,Rendered,0.1171875
RL,Sports1M,Monet2,0.03125
RL,Sports1M,Trippy,0.0
RL,Rendered,Cinematic,0.21875
RL,Rendered,Sports1M,0.1328125
RL,Rendered,Rendered,0.6171875
RL,Rendered,Monet2,0.03125
RL,Rendered,Trippy,0.0
RL,Monet2,Cinematic,0.0
RL,Monet2,Sports1M,0.075
RL,Monet2,Rendered,0.025
RL,Monet2,Monet2,0.9
RL,Monet2,Trippy,0.0
RL,Trippy,Cinematic,0.05
RL,Trippy,Sports1M,0.0
RL,Trippy,Rendered,0.0
RL,Trippy,Monet2,0.0
RL,Trippy,Trippy,0.95
