area,n_neurons,acc_mean,acc_std,chance
V1,25,0.8541246582365003,0.027273385352917474,0.5
V1,50,0.8842699077238552,0.02504418292113154,0.5
V1,100,0.9371595181134657,0.022595063032417876,0.5
V1,200,0.9516498632946,0.014012924715944067,0.5
V1,400,0.9694852187286397,0.006661801635045504,0.5
V1,575,0.9766477272727272,0.007597077394804855,0.5
LM,25,0.8457394907723854,0.03828919412571489,0.5
LM,50,0.8742002734107996,0.03245469951128778,0.5
LM,100,0.9238503930280247,0.017976238094251782,0.5
LM,200,0.9371983937115516,0.015446863455508157,0.5
LM,400,0.9583612440191386,0.008204558010943781,0.5
LM,575,0.9573692754613807,0.008424292407298679,0.5
AL,25,0.8262423103212576,0.033546883398187954,0.5
AL,50,0.856971120984279,0.021983754876314696,0.5
AL,100,0.8802106117566645,0.021024428646656337,0.5
AL,200,0.9284287423103214,0.00851786672070077,0.5
AL,400,0.9385560492139439,0.005193131520687088,0.5
RL,25,0.8467306049213944,0.03855637003953491,0.5
RL,50,0.8815776657552972,0.029305529775736583,0.5
RL,100,0.9100064080656185,0.013843207579166497,0.5
RL,200,0.9449615516062885,0.013750975052179284,0.5
RL,400,0.9441921565276827,0.013519767052941108,0.5
RL,575,0.9512666609706082,0.010281667166335596,0.5
