task,area,peak_acc,peak_t,mean_acc,chance
binary,V1,0.6513147824397824,68,0.6074602526331694,0.5
binary,LM,0.6306776085026085,64,0.5941568734506234,0.5
binary,AL,0.6623272283272285,8,0.5943939390085223,0.5
binary,RL,0.6590424159174159,68,0.6142092095404595,0.5
3class,V1,0.43997906189519337,65,0.40216923666131205,0.3333333333333333
3class,LM,0.4432518285782723,64,0.3961638240825765,0.3333333333333333
3class,AL,0.4708995178744324,66,0.398149988523755,0.3333333333333333
3class,RL,0.45427007639523936,64,0.41201969312334147,0.3333333333333333
5class,V1,0.3183105380505932,65,0.2716087827132334,0.2
5class,LM,0.3058521797828719,64,0.26080505369725704,0.2
5class,AL,0.33906971223451915,67,0.2709185697054805,0.2
5class,RL,0.30654251436206764,34,0.2774792609539588,0.2
