question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.015570915926179112,0.013201040086775721,4.22782598633483e-08,2.536695591800898e-07,True
Q1a,V1,AL,0.03232211209842789,0.00981802825955223,7.52622806189462e-10,4.515736837136772e-09,True
Q1a,V1,RL,0.02121240601503761,0.014788861968875926,4.010101089272243e-09,2.406060653563346e-08,True
Q1a,LM,AL,0.01829964114832534,0.009780087038661204,9.582882278455158e-10,5.749729367073095e-09,True
Q1a,LM,RL,0.007189935064935049,0.012222090620834795,0.0005194605766886188,0.0031167634601317125,True
Q1a,AL,RL,-0.009910287081339706,0.009534933255874987,1.247877559738422e-07,7.487265358430532e-07,True
Q1b,V1,LM,0.0014999999999999946,0.004062019202317965,0.014305878435429648,0.0858352706125779,False
Q1b,V1,AL,0.0,0.0,,,False
Q1b,V1,RL,0.0,0.0,,,False
Q1b,LM,AL,-0.0004999999999999983,0.002449489742783169,0.15729920705028502,0.9437952423017102,False
Q1b,LM,RL,-0.0004999999999999983,0.002449489742783169,0.15729920705028502,0.9437952423017102,False
Q1b,AL,RL,0.0,0.0,,,False
Q1c,V1,LM,-0.025741538461538448,0.03367950575970908,1.740966020626458e-05,0.00010445796123758747,True
Q1c,V1,AL,0.07403487179487177,0.024987346572963597,7.555220876380673e-10,4.5331325258284044e-09,True
Q1c,V1,RL,0.0171774358974359,0.03286158481382178,0.0010127502662588958,0.006076501597553375,True
Q1c,LM,AL,0.10026256410256407,0.017272868716237115,7.550097219539461e-10,4.530058331723677e-09,True
Q1c,LM,RL,0.043405128205128186,0.028709324712430772,1.3535839116229909e-12,8.121503469737945e-12,True
Q1c,AL,RL,-0.05471999999999996,0.02326851286029651,7.553512643873762e-10,4.532107586324258e-09,True
