area,true,predicted,proportion
V1,Cinematic,Cinematic,0.6640625
V1,Cinematic,Sports1M,0.1171875
V1,Cinematic,Rendered,0.21875
V1,Sports1M,Cinematic,0.140625
V1,Sports1M,Sports1M,0.671875
V1,Sports1M,Rendered,0.1875
V1,Rendered,Cinematic,0.21875
V1,Rendered,Sports1M,0.140625
V1,Rendered,Rendered,0.640625
LM,Cinematic,Cinematic,0.6640625
LM,Cinematic,Sports1M,0.1640625
LM,Cinematic,Rendered,0.171875
LM,Sports1M,Cinematic,0.109375
LM,Sports1M,Sports1M,0.734375
LM,Sports1M,Rendered,0.15625
LM,Rendered,Cinematic,0.1796875
LM,Rendered,Sports1M,0.140625
LM,Rendered,Rendered,0.6796875
AL,Cinematic,Cinematic,0.578125
AL,Cinematic,Sports1M,0.203125
AL,Cinematic,Rendered,0.21875
AL,Sports1M,Cinematic,0.234375
AL,Sports1M,Sports1M,0.609375
AL,Sports1M,Rendered,0.15625
AL,Rendered,Cinematic,0.2421875
AL,Rendered,Sports1M,0.21875
AL,Rendered,Rendered,0.5390625
RL,Cinematic,Cinematic,0.578125
RL,Cinematic,Sports1M,0.15625
RL,Cinematic,Rendered,0.265625
RL,Sports1M,Cinematic,0.140625
RL,Sports1M,Sports1M,0.625
RL,Sports1M,Rendered,0.234375
RL,Rendered,Cinematic,0.2109375
RL,Rendered,Sports1M,0.234375
RL,Rendered,Rendered,0.5546875
