question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.006267686261107317,0.009932657375726938,0.00015416562415525265,0.0009249937449315159,True
Q1a,V1,AL,0.014194377990430686,0.005917827740581468,7.889206620473231e-10,4.733523972283939e-09,True
Q1a,V1,RL,0.011163704716336294,0.011072308759437856,5.718606245771852e-07,3.431163747463111e-06,True
Q1a,LM,AL,0.007661141490088912,0.008060613201204036,1.2894505349845596e-06,7.736703209907358e-06,True
Q1a,LM,RL,0.004630468215994519,0.012003978624417048,0.011122008207047916,0.0667320492422875,False
Q1a,AL,RL,-0.003290669856459398,0.008301536536913129,0.010364560380630442,0.06218736228378265,False
Q1b,V1,LM,0.009250000000000003,0.0143200034916197,0.00035496313557026207,0.0021297788134215724,True
Q1b,V1,AL,0.015500000000000036,0.009861541461658008,6.619547082797941e-09,3.9717282496787644e-08,True
Q1b,V1,RL,0.022750000000000013,0.01995150370272877,9.40018479301968e-08,5.640110875811808e-07,True
Q1b,LM,AL,0.004750000000000036,0.011426394882026451,3.9317932157153424e-05,0.00023590759294292056,True
Q1b,LM,RL,0.012000000000000012,0.019678668654154435,0.00018872612982015857,0.0011323567789209513,True
Q1b,AL,RL,0.009499999999999984,0.016688319268278642,0.0029625098935408007,0.017775059361244804,True
Q1c,V1,LM,-0.01615179487179486,0.03302952829487557,0.0034449997748119358,0.020669998648871615,True
Q1c,V1,AL,0.056849230769230756,0.020693166594826333,1.7763568394002505e-15,1.0658141036401503e-14,True
Q1c,V1,RL,0.039206153846153884,0.02723320717272498,4.0117628535125806e-09,2.4070577121075483e-08,True
Q1c,LM,AL,0.0743384615384615,0.023473873736389973,1.7763568394002505e-15,1.0658141036401503e-14,True
Q1c,LM,RL,0.056695384615384634,0.028533836858909464,1.7763568394002505e-15,1.0658141036401503e-14,True
Q1c,AL,RL,-0.021386666666666648,0.027177662173852066,6.691240145097769e-06,4.014744087058661e-05,True
