question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9924512987012987,0.5004667207792207,0.018650029081670936,0.0
Q1a,LM,0.9862012987012987,0.5008425751879699,0.023696617423920353,0.0
Q1a,AL,0.9341208133971293,0.4988407382091593,0.027706619662078127,0.0
Q1a,RL,0.9698051948051948,0.5037794771018455,0.023854283760568445,0.0
Q1b,V1,1.0,0.526625,0.07375328382519655,0.0
Q1b,LM,0.9875,0.526125,0.06005453251004457,0.0
Q1b,AL,0.9875,0.513375,0.06750590251970563,0.0
Q1b,RL,0.9875,0.51825,0.06215957287498041,0.0
Q1c,V1,0.7861538461538463,0.33529948717948715,0.028686990841215763,0.0
Q1c,LM,0.7472820512820513,0.3325251282051282,0.028971780343616513,0.0
Q1c,AL,0.688,0.3325825641025641,0.025275523700931384,0.0
Q1c,RL,0.7474871794871795,0.3365476923076923,0.02711805430756432,0.0
