trial_idx,hash,type,short_name,movie_name,label,is_natural
0,YLuStB2eXkgOS+Cescsy,Monet2,UNKNOWN,UNKNOWN,Monet2,False
1,JbqTXa/nUmyDkiYdRpOR,Monet2,UNKNOWN,UNKNOWN,Monet2,False
2,GcdNGXFGUk3hsQcoTNg3,Monet2,UNKNOWN,UNKNOWN,Monet2,False
3,qseH2qyyh7OTWxM4dUHl,Monet2,UNKNOWN,UNKNOWN,Monet2,False
4,NWqTwzuwGakTM37kHKK4,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
5,ik5DKO+EInbAGwcH0BfB,Clip,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,Sports1M,True
6,dHvGJAD7cN8KboJxFF4/,Clip,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,Sports1M,True
7,zlQ935qW1A8YOiseS7gY,Clip,Rendered,medievalsewer_132-1-6-70-0_54.210.37.143,Rendered,True
8,XoerXglPXrngFUI5uTG6,Clip,sports1m,1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race,Sports1M,True
9,EKhyHmLj04EcBoR25T/e,Clip,Rendered,americandiner_079-1-5-70-0_184.73.123.94,Rendered,True
10,XQScwyJu53SfmLd5lO8n,Clip,Rendered,lowpolyjungle_017-1-9-70-0_54.165.28.255,Rendered,True
11,K+P79m2zZLQLffbJihvd,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True
12,idKqOhreEFb3Fw97JAw1,Clip,Rendered,mountainlake_103-1-0-70-0_54.210.37.143,Rendered,True
13,bfUSk4KvUjS6Mqdh2KjQ,Clip,sports1m,1 of 2 - 2011 ICup Red Rock Desert Rampage XC Mountain Bike Race,Sports1M,True
14,R+f+dA2RnuPb19efyu6T,Clip,sports1m,2011 July 2 ICUP Dutch Hollow XC Mountain Bike Race,Sports1M,True
15,8auQK9CVxwyTj6Hg0bJ2,Clip,Rendered,lowpolyjungle_068-1-9-70-0_54.196.24.32,Rendered,True
16,J4PH3ez0PBmcINVwekyF,Clip,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,Sports1M,True
17,n2kq4Nv6UNm4wJbdtuHM,Clip,sports1m,2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR,Sports1M,True
18,iYxs1vPwdSenUzRva/I3,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
19,N1Sn679rCW0XsG5S7c/C,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
20,jlM0Ornu8Dw2nAXCwego,Clip,Rendered,mountainlake_047-1-0-70-0_54.89.40.102,Rendered,True
21,iXM+aZY10zP+t3wPmZOW,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
22,zcz9H/fzww6BdAJTTzoe,Trippy,UNKNOWN,UNKNOWN,Trippy,False
23,dYBbjo2lrdAJKosxILtk,Trippy,UNKNOWN,UNKNOWN,Trippy,False
24,37aOP8J82MLFWr70ne97,Trippy,UNKNOWN,UNKNOWN,Trippy,False
25,Xe6/vzamVqYgecKk7y51,Trippy,UNKNOWN,UNKNOWN,Trippy,False
26,WurBr2jbdhuzgal3Vuiq,Clip,Rendered,swamp_090-1-11-70-0_107.23.36.15,Rendered,True
27,NOaxHwZRI5LI1TSt83z+,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
28,TkSt/u7PScrIMpmFEWNm,Clip,Rendered,subway_062-1-3-70-0_54.159.174.165,Rendered,True
29,FJEkKeXLZfbf64dGngjK,Clip,sports1m,2011 August 2 Midweek MTB Solitude XC Mountain Bike Race,Sports1M,True
30,X27MH9S0MVucJh+TobYb,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
31,DA79hth+CT2vRBzY10ya,Clip,Cinematic,The Matrix (1999),Cinematic,True
32,ecUQJtcERZJGdqza1k7h,Clip,sports1m,2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam,Sports1M,True
33,GjCMo2GkJp6y5vricadg,Clip,Rendered,americandiner_005-1-5-70-0_54.165.28.255,Rendered,True
34,5zQTb77qI+ig8rigx1XU,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
35,KXdTNAGMo1gCWz2Ge8zr,Clip,Rendered,run82-ancientTomb-1-0,Rendered,True
36,7UETOWO5Z8aWuHDBJ2GG,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
37,Oup5uAZxF2G7zEJkT+ui,Clip,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,Sports1M,True
38,APccFaui8xmgaLPZxjAA,Clip,sports1m,2011 June 25 USCS Round Valley XC Mountain Bike Race,Sports1M,True
39,hclIiiBW4rID0gjoYwbv,Clip,sports1m,14 ª volta ciclistica internacional do grande A B C D 2011 elite,Sports1M,True
40,ZW5GVcDmKHQQrQdljO9u,Clip,sports1m,1984 Winter Olympics - Mens Luge 2nd Run - Part 1,Sports1M,True
41,YWz8BdF7JHpb7SyGU3LO,Clip,Rendered,run125-lowPolyJungle-1-0,Rendered,True
42,otpDc+UZTnv0+G/1LL/A,Clip,Rendered,lowpolyjungle_129-1-9-70-0_52.87.152.28,Rendered,True
43,4ZE6JPeH4hCIesp0aRIB,Clip,Rendered,kowloon_110-1-8-70-0_54.209.141.225,Rendered,True
44,okYfMyn8qc2ClgvpS7WG,Clip,sports1m,2009 Skijoring Event in Whitefish Montana (part 1),Sports1M,True
45,NHlF8hOkZ6psFRIVhB6N,Clip,Rendered,ancienttomb_107-1-4-70-0_54.165.28.255,Rendered,True
