question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9463431305536568,0.4990588260423786,0.01625045997769702,0.0
Q1a,LM,0.9627221462747778,0.49796270505809986,0.025362410210809504,0.0
Q1a,AL,0.8916652426520848,0.4951416182501709,0.0266625277311299,0.0
Q1a,RL,0.9251708817498292,0.49674333561175665,0.027229182379202684,0.0
Q1b,V1,1.0,0.5236249999999999,0.06197012889287871,0.0
Q1b,LM,1.0,0.5029999999999999,0.06418040978367152,0.0
Q1b,AL,0.9875,0.5109999999999999,0.07025133450689744,0.0
Q1b,RL,0.975,0.515375,0.0668686912912164,0.0
Q1c,V1,0.7867692307692309,0.3379333333333333,0.03083228198004981,0.0
Q1c,LM,0.7763076923076924,0.33640102564102564,0.03004715853393099,0.0
Q1c,AL,0.6799999999999999,0.3377046153846153,0.030388508780091732,0.0
Q1c,RL,0.7526153846153846,0.33055487179487175,0.028878427420528097,0.0
