question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8179336124401914,0.02909214963908603,0.5
Q1a,V1,50,0.8710064935064935,0.030204186990058314,0.5
Q1a,V1,100,0.9457484620642518,0.022443932741216033,0.5
Q1a,V1,200,0.978618848257006,0.012457479604219572,0.5
Q1a,V1,260,0.9858249316473,0.008578314359041295,0.5
Q1a,LM,25,0.7948086124401914,0.019785686561279884,0.5
Q1a,LM,50,0.8365046138072454,0.04378539688115348,0.5
Q1a,LM,100,0.9038952494873549,0.029453883542051137,0.5
Q1a,LM,200,0.9466972829801776,0.011748499722015691,0.5
Q1a,LM,260,0.9513388585099112,0.013784491777988234,0.5
Q1a,AL,25,0.7666118421052632,0.023777135455604583,0.5
Q1a,AL,50,0.8103182672590569,0.03743220336615627,0.5
Q1a,AL,100,0.8599564251537937,0.01760080241838247,0.5
Q1a,AL,200,0.9263200615174301,0.01489804938966871,0.5
Q1a,AL,260,0.9427417976760083,0.0,0.5
Q1a,RL,25,0.7576713089542036,0.04685559044133901,0.5
Q1a,RL,50,0.8332266746411483,0.029171245175718157,0.5
Q1a,RL,100,0.8743660287081341,0.030309787788950396,0.5
Q1a,RL,200,0.9282651230348599,0.021325041184776204,0.5
Q1a,RL,260,0.9314631749829119,0.012615124047043876,0.5
Q1b,V1,25,0.9137500000000001,0.049827828569986875,0.5
Q1b,V1,50,0.9524999999999999,0.04834769901453431,0.5
Q1b,V1,100,0.98125,0.01605654072333142,0.5
Q1b,V1,200,0.9974999999999999,0.004999999999999982,0.5
Q1b,V1,260,0.99875,0.0037499999999999873,0.5
Q1b,LM,25,0.9225,0.021505813167606577,0.5
Q1b,LM,50,0.9850000000000001,0.0175,0.5
Q1b,LM,100,0.9887500000000001,0.0037499999999999864,0.5
Q1b,LM,200,0.9912500000000002,0.008003905296791056,0.5
Q1b,LM,260,0.99375,0.006249999999999978,0.5
Q1b,AL,25,0.89875,0.03375000000000002,0.5
Q1b,AL,50,0.9337500000000001,0.021686689466121827,0.5
Q1b,AL,100,0.9775,0.009354143466934868,0.5
Q1b,AL,200,0.98375,0.00572821961869483,0.5
Q1b,AL,260,0.9875,0.0,0.5
Q1b,RL,25,0.89375,0.04040807468811152,0.5
Q1b,RL,50,0.9337500000000001,0.02960679820581753,0.5
Q1b,RL,100,0.9625,0.016770509831248438,0.5
Q1b,RL,200,0.9712500000000001,0.013750000000000023,0.5
Q1b,RL,260,0.9750000000000002,0.009682458365518551,0.5
Q1c,V1,25,0.46396923076923074,0.01931862597765935,0.3333333333333333
Q1c,V1,50,0.49460512820512814,0.024988084471383166,0.3333333333333333
Q1c,V1,100,0.5153435897435898,0.016794676843652222,0.3333333333333333
Q1c,V1,200,0.5726871794871794,0.020305519179245935,0.3333333333333333
Q1c,V1,260,0.6046358974358974,0.024667543030436757,0.3333333333333333
Q1c,LM,25,0.4834358974358975,0.032018050464629404,0.3333333333333333
Q1c,LM,50,0.5237948717948717,0.026626202040630608,0.3333333333333333
Q1c,LM,100,0.5332717948717949,0.024497632887567223,0.3333333333333333
Q1c,LM,200,0.5538564102564102,0.02819115551335511,0.3333333333333333
Q1c,LM,260,0.6000820512820513,0.03152239907836156,0.3333333333333333
Q1c,AL,25,0.47435897435897434,0.038971012002036245,0.3333333333333333
Q1c,AL,50,0.4878051282051283,0.025982847728229824,0.3333333333333333
Q1c,AL,100,0.5278974358974359,0.02809110752812134,0.3333333333333333
Q1c,AL,200,0.5700410256410257,0.021722362642914078,0.3333333333333333
Q1c,AL,260,0.589025641025641,0.0,0.3333333333333333
Q1c,RL,25,0.4803179487179487,0.02540632896761714,0.3333333333333333
Q1c,RL,50,0.4810666666666667,0.01613644646965316,0.3333333333333333
Q1c,RL,100,0.504225641025641,0.01821780995634554,0.3333333333333333
Q1c,RL,200,0.5357743589743589,0.01615108157051523,0.3333333333333333
Q1c,RL,260,0.563374358974359,0.020561964208791014,0.3333333333333333
