question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8234454032809294,0.03517686044501169,0.5
Q1a,V1,50,0.8715815105946685,0.0359851413516687,0.5
Q1a,V1,100,0.9284757347915242,0.017659328810151573,0.5
Q1a,V1,200,0.9686508885850991,0.0120565994904179,0.5
Q1a,V1,260,0.9733048530416951,0.007802495081179498,0.5
Q1a,LM,25,0.7779019993164731,0.04149710665620199,0.5
Q1a,LM,50,0.868321086807929,0.019423276011136845,0.5
Q1a,LM,100,0.8912303485987698,0.024043339396397963,0.5
Q1a,LM,200,0.9191626794258374,0.015505453744203005,0.5
Q1a,LM,260,0.931514866712235,0.015815532452918862,0.5
Q1a,AL,25,0.7489657382091592,0.0336121138383475,0.5
Q1a,AL,50,0.7944207108680793,0.03424018133415763,0.5
Q1a,AL,100,0.854061004784689,0.023959753764075106,0.5
Q1a,AL,200,0.8751482399179767,0.00956522425237241,0.5
Q1a,AL,260,0.9023496240601503,0.0,0.5
Q1a,RL,25,0.7777268455228981,0.01767965926316502,0.5
Q1a,RL,50,0.7993356971975393,0.033505952636399904,0.5
Q1a,RL,100,0.8766199589883801,0.02992432782298117,0.5
Q1a,RL,200,0.9056677204374572,0.018713133565971526,0.5
Q1a,RL,260,0.9223603041695148,0.025662163612291494,0.5
Q1b,V1,25,0.9174999999999999,0.04716990566028301,0.5
Q1b,V1,50,0.96125,0.029288436284649978,0.5
Q1b,V1,100,0.975,0.014790199457749035,0.5
Q1b,V1,200,0.9950000000000001,0.006123724356957924,0.5
Q1b,V1,260,0.9962500000000001,0.008003905296791063,0.5
Q1b,LM,25,0.94625,0.025647855660853994,0.5
Q1b,LM,50,0.9775,0.019202864369671533,0.5
Q1b,LM,100,0.9875000000000002,0.007905694150420957,0.5
Q1b,LM,200,0.9875000000000002,1.1102230246251565e-16,0.5
Q1b,LM,260,0.99,0.004999999999999983,0.5
Q1b,AL,25,0.8975,0.024874685927665497,0.5
Q1b,AL,50,0.9362499999999999,0.02527968552019585,0.5
Q1b,AL,100,0.9525,0.02358495283014151,0.5
Q1b,AL,200,0.96875,0.012808688457449518,0.5
Q1b,AL,260,0.975,0.0,0.5
Q1b,RL,25,0.875,0.05361902647381804,0.5
Q1b,RL,50,0.9350000000000002,0.03201562118716425,0.5
Q1b,RL,100,0.9674999999999999,0.01600781059358214,0.5
Q1b,RL,200,0.9875000000000002,0.0055901699437494795,0.5
Q1b,RL,260,0.98125,0.011524430571616116,0.5
Q1c,V1,25,0.46295384615384616,0.034601236994909745,0.3333333333333333
Q1c,V1,50,0.520523076923077,0.021016706043975014,0.3333333333333333
Q1c,V1,100,0.522574358974359,0.019961749089019355,0.3333333333333333
Q1c,V1,200,0.5724,0.027620550905931254,0.3333333333333333
Q1c,V1,260,0.5924512820512821,0.023422201013754664,0.3333333333333333
Q1c,LM,25,0.47455384615384605,0.04317060509170818,0.3333333333333333
Q1c,LM,50,0.5146153846153846,0.021864311702698088,0.3333333333333333
Q1c,LM,100,0.536451282051282,0.016046100580911493,0.3333333333333333
Q1c,LM,200,0.5553948717948718,0.031353108032545346,0.3333333333333333
Q1c,LM,260,0.5907897435897436,0.021885833712501187,0.3333333333333333
Q1c,AL,25,0.4803794871794872,0.04125176273802227,0.3333333333333333
Q1c,AL,50,0.515948717948718,0.023495116786696614,0.3333333333333333
Q1c,AL,100,0.5276512820512821,0.026707550513625708,0.3333333333333333
Q1c,AL,200,0.584451282051282,0.02296731577020621,0.3333333333333333
Q1c,AL,260,0.5972307692307692,0.0,0.3333333333333333
Q1c,RL,25,0.46178461538461535,0.04819055317029103,0.3333333333333333
Q1c,RL,50,0.4812717948717948,0.03167933349898907,0.3333333333333333
Q1c,RL,100,0.5134769230769229,0.025855765408612834,0.3333333333333333
Q1c,RL,200,0.5525641025641026,0.03138207631760439,0.3333333333333333
Q1c,RL,260,0.566,0.028308407646108445,0.3333333333333333
