area,true,predicted,proportion
V1,Cinematic,Cinematic,0.625
V1,Cinematic,Sports1M,0.1640625
V1,Cinematic,Rendered,0.2109375
V1,Sports1M,Cinematic,0.15625
V1,Sports1M,Sports1M,0.6875
V1,Sports1M,Rendered,0.15625
V1,Rendered,Cinematic,0.2265625
V1,Rendered,Sports1M,0.21875
V1,Rendered,Rendered,0.5546875
LM,Cinematic,Cinematic,0.6484375
LM,Cinematic,Sports1M,0.125
LM,Cinematic,Rendered,0.2265625
LM,Sports1M,Cinematic,0.1640625
LM,Sports1M,Sports1M,0.5625
LM,Sports1M,Rendered,0.2734375
LM,Rendered,Cinematic,0.1953125
LM,Rendered,Sports1M,0.1875
LM,Rendered,Rendered,0.6171875
AL,Cinematic,Cinematic,0.671875
AL,Cinematic,Sports1M,0.1328125
AL,Cinematic,Rendered,0.1953125
AL,Sports1M,Cinematic,0.21875
AL,Sports1M,Sports1M,0.578125
AL,Sports1M,Rendered,0.203125
AL,Rendered,Cinematic,0.2109375
AL,Rendered,Sports1M,0.25
AL,Rendered,Rendered,0.5390625
RL,Cinematic,Cinematic,0.578125
RL,Cinematic,Sports1M,0.15625
RL,Cinematic,Rendered,0.265625
RL,Sports1M,Cinematic,0.234375
RL,Sports1M,Sports1M,0.53125
RL,Sports1M,Rendered,0.234375
RL,Rendered,Cinematic,0.203125
RL,Rendered,Sports1M,0.1953125
RL,Rendered,Rendered,0.6015625
