session,V1,LM,AL,RL,total_V1_LM_AL_RL,min_area_count,all_four_present,excluded
5_6,6014,1158,468,952,8592,468,True,False
7_5,5485,1262,414,1033,8194,414,True,False
5_7,5777,1066,403,892,8138,403,True,False
4_7,5312,983,387,811,7493,387,True,False
8_5,7223,1305,347,1066,9941,347,True,False
7_3,6309,1135,324,850,8618,324,True,False
6_4,5999,1027,317,878,8221,317,True,False
6_2,6002,978,317,861,8158,317,True,False
6_7,5808,960,305,814,7887,305,True,False
6_6,5905,979,287,800,7971,287,True,False
9_3,5838,1018,260,857,7973,260,True,False
9_4,5928,869,215,843,7855,215,True,False
9_6,3897,543,115,575,5130,115,True,False
7_4,7725,1534,575,1367,11201,575,True,True
