area,label,is_natural,cv_mean,cv_std,cv_median,n_trials
V1,Cinematic,1,27.899547576904297,23.738859176635742,21.083736419677734,128
V1,Monet2,0,20.28044891357422,8.708415031433105,18.827625274658203,40
V1,Rendered,1,23.876365661621094,26.242753982543945,19.495285034179688,128
V1,Sports1M,1,25.332809448242188,27.061548233032227,19.400928497314453,128
V1,Trippy,0,33.81099319458008,53.596370697021484,20.86981201171875,40
V1,_nat_vs_par_test,-1,-1.3428153991699219,0.0,0.5060805678367615,464
LM,Cinematic,1,56.72927474975586,203.4998779296875,19.617774963378906,128
LM,Monet2,0,28.837270736694336,55.97663116455078,16.54303741455078,40
LM,Rendered,1,52.67591857910156,133.0372772216797,21.702709197998047,128
LM,Sports1M,1,30.459941864013672,67.99940490722656,17.91602325439453,128
LM,Trippy,0,30.146759033203125,24.395355224609375,20.226064682006836,40
LM,_nat_vs_par_test,-1,17.12969970703125,0.0,0.2268688678741455,464
AL,Cinematic,1,25.615402221679688,38.66896438598633,16.26251220703125,128
AL,Monet2,0,21.194416046142578,15.18433666229248,14.671272277832031,40
AL,Rendered,1,25.799224853515625,54.06758499145508,17.299198150634766,128
AL,Sports1M,1,22.421401977539062,28.741579055786133,14.932093620300293,128
AL,Trippy,0,55.39461135864258,138.33265686035156,18.04168128967285,40
AL,_nat_vs_par_test,-1,-13.682504653930664,0.0,0.21477466821670532,464
RL,Cinematic,1,27.321195602416992,52.09827423095703,17.955156326293945,128
RL,Monet2,0,18.951702117919922,22.32121467590332,13.305243492126465,40
RL,Rendered,1,30.54313850402832,69.15579986572266,17.912551879882812,128
RL,Sports1M,1,18.12527847290039,9.967611312866211,15.69604206085205,128
RL,Trippy,0,20.535139083862305,14.869433403015137,16.09784698486328,40
RL,_nat_vs_par_test,-1,5.586452484130859,0.0,0.004765103571116924,464
