area,n_neurons,acc_mean,acc_std,chance
V1,25,0.7472564935064934,0.019543936842802395,0.5
V1,50,0.8033437286397811,0.022600966088177857,0.5
V1,100,0.8351127819548874,0.020179116980917823,0.5
V1,200,0.8690447710184552,0.009925883624107323,0.5
V1,400,0.8747842617908408,0.009690255132010493,0.5
V1,575,0.8833685064935064,0.009065150085553472,0.5
LM,25,0.771883116883117,0.024853632927337117,0.5
LM,50,0.7938649179767601,0.0205724315640046,0.5
LM,100,0.8388862781954888,0.028632766859117878,0.5
LM,200,0.8604682159945318,0.018228279247874315,0.5
LM,400,0.8728494531784005,0.006059214569024323,0.5
LM,575,0.8768284347231716,0.006452225659030551,0.5
AL,25,0.7098722658920027,0.029251994338719205,0.5
AL,50,0.7595040157211209,0.025973253906579664,0.5
AL,100,0.8207125768967873,0.022952029174135188,0.5
AL,200,0.8477247095010254,0.02898226077030778,0.5
AL,400,0.8648884996582364,0.006810066382215927,0.5
AL,575,0.8627007860560493,0.0,0.5
RL,25,0.7623688482570061,0.02543691166332752,0.5
RL,50,0.7911688311688312,0.022759147429371098,0.5
RL,100,0.8157980177717018,0.026032649477451843,0.5
RL,200,0.8622231715652768,0.016706619029327727,0.5
RL,400,0.8787734962406015,0.009532081131129732,0.5
RL,575,0.8832078776486672,0.008898783418394396,0.5
