question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.0027740943267259024,0.010366519690687174,0.07912708913204822,0.4747625347922893,False
Q1a,V1,AL,0.03354699248120296,0.007605195102069276,7.4888563057194e-10,4.49331378343164e-09,True
Q1a,V1,RL,0.003583304853041691,0.00977820127205288,0.012407758339265574,0.07444655003559345,False
Q1a,LM,AL,0.03032963089542031,0.008917130644413582,7.495638746932361e-10,4.497383248159417e-09,True
Q1a,LM,RL,0.0003659432672590435,0.009931502555600255,0.6780646814042935,1.0,False
Q1a,AL,RL,-0.03112106971975389,0.006093904756538941,7.45165131849259e-10,4.470990791095554e-09,True
Q1b,V1,LM,0.0,0.0,,,False
Q1b,V1,AL,0.0,0.0,,,False
Q1b,V1,RL,0.0009999999999999966,0.0033911649915626223,0.0455002638963584,0.2730015833781504,False
Q1b,LM,AL,0.0,0.0,,,False
Q1b,LM,RL,0.0009999999999999966,0.0033911649915626223,0.0455002638963584,0.2730015833781504,False
Q1b,AL,RL,0.0009999999999999966,0.003391164991562622,0.0455002638963584,0.2730015833781504,False
Q1c,V1,LM,-0.0396923076923077,0.038139660996918893,3.037679045739883e-07,1.82260742744393e-06,True
Q1c,V1,AL,-0.08622358974358972,0.025387045229471567,7.555220876380673e-10,4.5331325258284044e-09,True
Q1c,V1,RL,-0.035952820512820526,0.03183745839419304,8.661590715610181e-08,5.196954429366109e-07,True
Q1c,LM,AL,-0.05112615384615385,0.023907401817637026,3.552713678800501e-15,2.1316282072803006e-14,True
Q1c,LM,RL,-0.0008553846153846334,0.0331239346934003,0.869646400389307,1.0,False
Q1c,AL,RL,0.05076307692307691,0.019805767268500765,7.553512643873762e-10,4.532107586324258e-09,True
