question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.8469540328092959,0.02378565235919928,0.5
Q1a,V1,50,0.8842904135338345,0.024841676151000334,0.5
Q1a,V1,100,0.9523359535201641,0.02085548609616494,0.5
Q1a,V1,200,0.9752392344497608,0.011073447404428326,0.5
Q1a,V1,400,0.9828456083390293,0.006172451358890627,0.5
Q1a,V1,403,0.9845907382091591,0.005769196024188641,0.5
Q1a,LM,25,0.8198872180451128,0.05278258389239754,0.5
Q1a,LM,50,0.8631536226930965,0.03923673210259654,0.5
Q1a,LM,100,0.92955997949419,0.018403999184272636,0.5
Q1a,LM,200,0.9738127990430622,0.015757408709469345,0.5
Q1a,LM,400,0.9777832365003416,0.004256710885695561,0.5
Q1a,LM,403,0.9787632433356117,0.004562594100674288,0.5
Q1a,AL,25,0.815008971291866,0.05630603407645897,0.5
Q1a,AL,50,0.8783556903622692,0.023410955035912586,0.5
Q1a,AL,100,0.9117690533151059,0.014539858237120626,0.5
Q1a,AL,200,0.94887987012987,0.0053731013687314515,0.5
Q1a,AL,400,0.9623376623376625,0.000837982914902368,0.5
Q1a,AL,403,0.9619446343130553,0.0,0.5
Q1a,RL,25,0.8102580314422421,0.04600177052390909,0.5
Q1a,RL,50,0.8831096206425155,0.03483604400969086,0.5
Q1a,RL,100,0.9306378161312372,0.013666177006107729,0.5
Q1a,RL,200,0.9557527341079973,0.00890870541877999,0.5
Q1a,RL,400,0.968532980177717,0.004696904824938227,0.5
Q1a,RL,403,0.9702276999316473,0.005129439723329643,0.5
Q1b,V1,25,0.89375,0.04079292218020179,0.5
Q1b,V1,50,0.9537500000000001,0.03213740033045612,0.5
Q1b,V1,100,0.98375,0.00800390529679108,0.5
Q1b,V1,200,0.9887500000000001,0.006731456008918129,0.5
Q1b,V1,400,0.9925,0.008291561975888494,0.5
Q1b,V1,403,0.9900000000000002,0.004999999999999982,0.5
Q1b,LM,25,0.9337500000000001,0.04071624368725583,0.5
Q1b,LM,50,0.9775,0.01561249499599601,0.5
Q1b,LM,100,0.98125,0.012808688457449523,0.5
Q1b,LM,200,0.9974999999999999,0.004999999999999982,0.5
Q1b,LM,400,1.0,0.0,0.5
Q1b,LM,403,0.99875,0.0037499999999999873,0.5
Q1b,AL,25,0.8987499999999999,0.043463346626784284,0.5
Q1b,AL,50,0.9450000000000001,0.025739075352467493,0.5
Q1b,AL,100,0.96875,0.016056540723331427,0.5
Q1b,AL,200,0.9825000000000002,0.011456439237389609,0.5
Q1b,AL,400,0.975,0.0,0.5
Q1b,AL,403,0.975,0.0,0.5
Q1b,RL,25,0.8875,0.0316227766016838,0.5
Q1b,RL,50,0.9525,0.034369317712168806,0.5
Q1b,RL,100,0.9725000000000001,0.020766559657295198,0.5
Q1b,RL,200,0.9875,0.007905694150420955,0.5
Q1b,RL,400,0.9812500000000002,0.0100778221853732,0.5
Q1b,RL,403,0.9900000000000002,0.010897247358851673,0.5
Q1c,V1,25,0.48146666666666665,0.043725785898022874,0.3333333333333333
Q1c,V1,50,0.4894051282051282,0.032756702392194206,0.3333333333333333
Q1c,V1,100,0.5198461538461538,0.026985987549047904,0.3333333333333333
Q1c,V1,200,0.5744717948717949,0.018869534424266025,0.3333333333333333
Q1c,V1,400,0.616225641025641,0.0310974223665487,0.3333333333333333
Q1c,V1,403,0.6390153846153847,0.016530469943558713,0.3333333333333333
Q1c,LM,25,0.4930256410256411,0.025189584898857025,0.3333333333333333
Q1c,LM,50,0.5432102564102564,0.015624458649399212,0.3333333333333333
Q1c,LM,100,0.5494256410256411,0.034634834421779205,0.3333333333333333
Q1c,LM,200,0.6095897435897437,0.025112805328218347,0.3333333333333333
Q1c,LM,400,0.655374358974359,0.01319609449525426,0.3333333333333333
Q1c,LM,403,0.6587179487179488,0.022369710431142713,0.3333333333333333
Q1c,AL,25,0.4424615384615384,0.014128330773325627,0.3333333333333333
Q1c,AL,50,0.4803384615384615,0.03230020426044196,0.3333333333333333
Q1c,AL,100,0.4939794871794872,0.013082375937030365,0.3333333333333333
Q1c,AL,200,0.5162564102564103,0.01820200767766288,0.3333333333333333
Q1c,AL,400,0.5412205128205129,0.006236445657413348,0.3333333333333333
Q1c,AL,403,0.5476923076923077,0.0,0.3333333333333333
Q1c,RL,25,0.47441025641025647,0.025465088708509963,0.3333333333333333
Q1c,RL,50,0.4726974358974359,0.02166598633433474,0.3333333333333333
Q1c,RL,100,0.5073846153846155,0.018998515461571976,0.3333333333333333
Q1c,RL,200,0.5290256410256411,0.028439233579240854,0.3333333333333333
Q1c,RL,400,0.5874564102564103,0.023695861649306815,0.3333333333333333
Q1c,RL,403,0.595425641025641,0.024434213626168915,0.3333333333333333
