question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.99375,0.49833424470266563,0.019173867814003914,0.0
Q1a,LM,0.9885551948051947,0.5048616712235133,0.024942928747895495,0.0
Q1a,AL,0.9466208133971292,0.5063773069036227,0.031537143364204046,0.0
Q1a,RL,0.9658749145591251,0.49849329289131916,0.02930504644148221,0.0
Q1b,V1,1.0,0.5096250000000001,0.0639055699841571,0.0
Q1b,LM,0.975,0.5399999999999999,0.07456121646003369,0.0
Q1b,AL,0.975,0.5052499999999999,0.07004864381271061,0.0
Q1b,RL,0.975,0.5124999999999998,0.06869315832017044,0.0
Q1c,V1,0.7682051282051283,0.33812820512820513,0.02689675636500766,0.0
Q1c,LM,0.7394871794871796,0.33395384615384605,0.026734825616098724,0.0
Q1c,AL,0.6535384615384616,0.3363774358974359,0.02633513390593494,0.0
Q1c,RL,0.651897435897436,0.3359476923076924,0.03064868521794089,0.0
