question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.9911525974025974,0.5014286995898839,0.019426671373880038,0.0
Q1a,LM,0.9544471975393028,0.503508031442242,0.027825579073800358,0.0
Q1a,AL,0.902089029391661,0.49920907382091584,0.03054625563098208,0.0
Q1a,RL,0.9479536910457963,0.49500170881749833,0.02346635730162808,0.0
Q1b,V1,1.0,0.5242499999999999,0.07767761904178064,0.0
Q1b,LM,0.9875,0.52925,0.060265558157209506,0.0
Q1b,AL,0.9875,0.5265000000000001,0.06546182093403757,0.0
Q1b,RL,0.975,0.511875,0.06652948124703814,0.0
Q1c,V1,0.6873846153846155,0.3339374358974359,0.02828009764273182,0.0
Q1c,LM,0.656,0.33466051282051285,0.029689906709533052,0.0
Q1c,AL,0.5464615384615384,0.33602256410256415,0.0267143068732089,0.0
Q1c,RL,0.5526153846153846,0.3348964102564102,0.03234364501790189,0.0
