area,true,predicted,proportion
V1,Cinematic,Cinematic,0.6171875
V1,Cinematic,Sports1M,0.1328125
V1,Cinematic,Rendered,0.25
V1,Sports1M,Cinematic,0.1640625
V1,Sports1M,Sports1M,0.65625
V1,Sports1M,Rendered,0.1796875
V1,Rendered,Cinematic,0.1796875
V1,Rendered,Sports1M,0.1640625
V1,Rendered,Rendered,0.65625
LM,Cinematic,Cinematic,0.6953125
LM,Cinematic,Sports1M,0.1015625
LM,Cinematic,Rendered,0.203125
LM,Sports1M,Cinematic,0.109375
LM,Sports1M,Sports1M,0.7421875
LM,Sports1M,Rendered,0.1484375
LM,Rendered,Cinematic,0.203125
LM,Rendered,Sports1M,0.15625
LM,Rendered,Rendered,0.640625
AL,Cinematic,Cinematic,0.6484375
AL,Cinematic,Sports1M,0.2109375
AL,Cinematic,Rendered,0.140625
AL,Sports1M,Cinematic,0.1875
AL,Sports1M,Sports1M,0.578125
AL,Sports1M,Rendered,0.234375
AL,Rendered,Cinematic,0.203125
AL,Rendered,Sports1M,0.15625
AL,Rendered,Rendered,0.640625
RL,Cinematic,Cinematic,0.609375
RL,Cinematic,Sports1M,0.2109375
RL,Cinematic,Rendered,0.1796875
RL,Sports1M,Cinematic,0.171875
RL,Sports1M,Sports1M,0.671875
RL,Sports1M,Rendered,0.15625
RL,Rendered,Cinematic,0.2265625
RL,Rendered,Sports1M,0.1640625
RL,Rendered,Rendered,0.609375
