trial_idx,hash,type,short_name,movie_name,label,is_natural
0,RL8zpBtdUqrcItpujIVj,Clip,Cinematic,Powaqqatsi: Life in Transformation (1988),Cinematic,True
1,L313XjQzD6eqzIitZmbl,Clip,Rendered,subway_129-1-3-70-0_54.159.174.165,Rendered,True
2,G8GCQlSYxw5oG/LVKDs2,Clip,Rendered,americandiner_099-1-5-70-0_184.73.123.94,Rendered,True
3,YxZMp94AewnnwYmjI/0v,Clip,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),Cinematic,True
4,wE8wskQ2OpXgYdnpm+o0,Clip,sports1m,13 Rottenmanner Tauern-Adventure-Race,Sports1M,True
5,Hx7nWm9l4FGDuTlUO/17,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
6,JNYUnhFvI0mZbwN58E20,Clip,Rendered,swamp_124-1-11-70-0_34.239.124.192,Rendered,True
7,7keiPs7vk9CHNrtDuOxL,Clip,sports1m,2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized),Sports1M,True
8,t24nBc6mpih4DR5C/qVP,Clip,Rendered,subway_016-1-3-70-0_52.205.253.179,Rendered,True
9,JzIVwvytTHCEhcYc0EkS,Clip,sports1m,2012 UNIV WORLDS Stenberg (USA) dec Sasunouski (BLR) 84 kg Greco bout,Sports1M,True
10,shDuGRZylVmZLCBFIVeP,Clip,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,Sports1M,True
11,ysjy6YgGXX5+mcx52KSM,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True
12,+4gByvU9LfvSD0JHP6Ae,Trippy,UNKNOWN,UNKNOWN,Trippy,False
13,zuA1BPN+TMmYkiA/kijm,Trippy,UNKNOWN,UNKNOWN,Trippy,False
14,FwG4V5nAZdXPlcAEu/X9,Trippy,UNKNOWN,UNKNOWN,Trippy,False
15,Vdi70xOyBQEeDGhPVulx,Trippy,UNKNOWN,UNKNOWN,Trippy,False
16,RstJCL6WUIMBH856oSUa,Clip,Rendered,ancienttomb_033-1-4-70-0_54.196.24.32,Rendered,True
17,w7JnCj9VlP2Fq1fRuVG/,Clip,sports1m,2012 August 14 Midweek MTB Solitude XC Mountain Bike Race,Sports1M,True
18,PAaWUfdQ1Gjso6W1l4py,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True
19,RQz+ZuqLLAYsvs1Sjwyy,Clip,Rendered,ancienttomb_002-1-4-70-0_52.205.253.179,Rendered,True
20,aY7TRYalsHIIsXd8Ublt,Clip,Cinematic,Naqoyqatsi: Life as War (2002),Cinematic,True
21,HpOzN/Jmded8UFPIqFOb,Clip,Rendered,mountainlake_070-1-0-70-0_54.210.37.143,Rendered,True
22,Qw9KQuVFXtOpCN6zlJ+3,Trippy,UNKNOWN,UNKNOWN,Trippy,False
23,QhkP4NSpC8P10t0wM4ka,Trippy,UNKNOWN,UNKNOWN,Trippy,False
24,zcz9H/fzww6BdAJTTzoe,Trippy,UNKNOWN,UNKNOWN,Trippy,False
25,nCr/AuxaC4Xt8NsyFiVd,Trippy,UNKNOWN,UNKNOWN,Trippy,False
26,N/CM14gXTCJEgrDg94b3,Clip,Rendered,swamp_054-1-11-70-0_34.239.124.192,Rendered,True
27,OGCq+Y6MTN3dI9rzT2h7,Clip,sports1m,2011 June 15 Weekly Race Series Soldier Hollow XC Mountain Bike Race,Sports1M,True
28,a0eB0bD+WQOHP2D9uolT,Clip,Rendered,run305-lowPolyJungle-1-0,Rendered,True
29,GhED3Ko7P4VB/3QSurTX,Clip,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),Cinematic,True
30,wbOfgkM8bktoDcKpsoAg,Clip,sports1m,2011 June 15 Weekly Race Series Soldier Hollow XC Mountain Bike Race,Sports1M,True
31,tkIwRDqE3jFF2zQNJX33,Clip,Rendered,lowpolyjungle_017-1-9-70-0_54.209.141.225,Rendered,True
32,ecUQJtcERZJGdqza1k7h,Clip,sports1m,2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam,Sports1M,True
33,7UETOWO5Z8aWuHDBJ2GG,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
34,5zQTb77qI+ig8rigx1XU,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
35,GjCMo2GkJp6y5vricadg,Clip,Rendered,americandiner_005-1-5-70-0_54.165.28.255,Rendered,True
36,Oup5uAZxF2G7zEJkT+ui,Clip,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,Sports1M,True
37,KXdTNAGMo1gCWz2Ge8zr,Clip,Rendered,run82-ancientTomb-1-0,Rendered,True
38,tRgm529SPpQspr220FRm,Trippy,UNKNOWN,UNKNOWN,Trippy,False
39,CepaO1uDn3SuheYO7g5H,Trippy,UNKNOWN,UNKNOWN,Trippy,False
40,EhwIk1vM51LHZPE6xFZX,Trippy,UNKNOWN,UNKNOWN,Trippy,False
41,Eg0JJjM4WQf3rSnoMx57,Trippy,UNKNOWN,UNKNOWN,Trippy,False
42,NmAmcCjEcddFGNosbSMP,Trippy,UNKNOWN,UNKNOWN,Trippy,False
43,U6NqQRL+v/N/9xnLSH2y,Trippy,UNKNOWN,UNKNOWN,Trippy,False
44,M2pe/WTGF2rEOVIBdwoZ,Trippy,UNKNOWN,UNKNOWN,Trippy,False
45,ZJvulWBItHtLlDVkIntm,Trippy,UNKNOWN,UNKNOWN,Trippy,False
46,JOYs8Wny1GJlw6AxCVo5,Clip,Rendered,lowpolyjungle_015-1-9-70-0_54.175.147.171,Rendered,True
47,mG4xsIyTTnaRWKW82yeD,Clip,Cinematic,The Matrix (1999),Cinematic,True
48,hnYVTt6SOC5gw43jdDOb,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
49,HvUTYlGssHeK5Ub4iNLY,Clip,Rendered,mountainlake_075-1-0-70-0_52.205.253.179,Rendered,True
50,pBsrFShgY2qLi+7xYSGi,Clip,sports1m,1984 Winter Olympics - Mens Luge 1st run - Part 1,Sports1M,True
51,IPvYT7eXLYJ557HrVPnG,Clip,sports1m,1 of 7 - 2010 ICup Utah Open State Championship XC Mountain Bike Race,Sports1M,True
52,PfyQaDllUY2yH03ItsCu,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
53,8BNFiPQy8yKGRvfYmMvE,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True
54,t9fbX9SYqXjmqdp8haYS,Clip,Rendered,americandiner_093-1-5-70-0_54.175.147.171,Rendered,True
55,oHBdaBGyPyVayWFLT2zG,Clip,Cinematic,Powaqqatsi: Life in Transformation (1988),Cinematic,True
56,cbB+N0Jm590tTqgb4q7V,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True
57,VwqImRYLUvz9KtBD60zh,Clip,Rendered,subway_067-1-3-70-0_54.209.141.225,Rendered,True
58,okYfMyn8qc2ClgvpS7WG,Clip,sports1m,2009 Skijoring Event in Whitefish Montana (part 1),Sports1M,True
59,NHlF8hOkZ6psFRIVhB6N,Clip,Rendered,ancienttomb_107-1-4-70-0_54.165.28.255,Rendered,True
60,AxNNo310kAl9uUSr+hXS,Clip,Rendered,medievalsewer_009-1-6-70-0_107.23.36.15,Rendered,True
61,mjtZRmGqaXCHGB59txoI,Clip,Cinematic,Powaqqatsi: Life in Transformation (1988),Cinematic,True
62,W50xYLSTlUixv1tOfuSJ,Clip,sports1m,2011 Boulder Cup Cyclocross Elite Women,Sports1M,True
63,WpAnXD10RC/bdk0t5JIH,Clip,sports1m,1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race,Sports1M,True
64,APccFaui8xmgaLPZxjAA,Clip,sports1m,2011 June 25 USCS Round Valley XC Mountain Bike Race,Sports1M,True
65,hclIiiBW4rID0gjoYwbv,Clip,sports1m,14 ª volta ciclistica internacional do grande A B C D 2011 elite,Sports1M,True
66,ZW5GVcDmKHQQrQdljO9u,Clip,sports1m,1984 Winter Olympics - Mens Luge 2nd Run - Part 1,Sports1M,True
67,YWz8BdF7JHpb7SyGU3LO,Clip,Rendered,run125-lowPolyJungle-1-0,Rendered,True
