question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.7620065789473685,0.03100188039495662,0.5
Q1a,V1,50,0.8249765037593985,0.022033906675388463,0.5
Q1a,V1,100,0.8671774606971976,0.015677591218092136,0.5
Q1a,V1,200,0.8815011961722486,0.007449260274050971,0.5
Q1a,V1,400,0.8807822112098428,0.006583422407352019,0.5
Q1a,V1,575,0.8981574675324676,0.012929884366571607,0.5
Q1a,LM,25,0.7758065618591934,0.02379488267111396,0.5
Q1a,LM,50,0.8141379015721121,0.025445890011375514,0.5
Q1a,LM,100,0.8669301093643199,0.01936880543174281,0.5
Q1a,LM,200,0.8780818523581682,0.011242406651243179,0.5
Q1a,LM,400,0.8839110560492139,0.016416191840235662,0.5
Q1a,LM,575,0.8870950102529049,0.0111963407298475,0.5
Q1a,AL,25,0.762118079289132,0.031549524709040794,0.5
Q1a,AL,50,0.7875935577580314,0.028330735872380372,0.5
Q1a,AL,100,0.8452892173615858,0.018797261331615217,0.5
Q1a,AL,200,0.8576426862611072,0.008526281428802542,0.5
Q1a,AL,400,0.8725457108680791,0.006452401662332913,0.5
Q1a,AL,575,0.8816259398496239,0.0,0.5
Q1a,RL,25,0.7975115345181134,0.042798251340494496,0.5
Q1a,RL,50,0.8402554682159945,0.021759984498039713,0.5
Q1a,RL,100,0.855205058099795,0.01798684165394657,0.5
Q1a,RL,200,0.8776234620642516,0.01163527194202853,0.5
Q1a,RL,400,0.8852699931647301,0.010813372116638579,0.5
Q1a,RL,575,0.8825516917293234,0.008210942773033778,0.5
Q1b,V1,25,0.8174999999999999,0.02915475947422652,0.5
Q1b,V1,50,0.85375,0.02439902661992892,0.5
Q1b,V1,100,0.86625,0.011249999999999991,0.5
Q1b,V1,200,0.8712500000000001,0.01772180859844727,0.5
Q1b,V1,400,0.8675,0.009999999999999985,0.5
Q1b,V1,575,0.8762500000000001,0.014197270864500674,0.5
Q1b,LM,25,0.8400000000000001,0.0207665596572952,0.5
Q1b,LM,50,0.85375,0.018582585934148153,0.5
Q1b,LM,100,0.8712500000000001,0.009762812094883309,0.5
Q1b,LM,200,0.8637499999999999,0.014197270864500679,0.5
Q1b,LM,400,0.8674999999999999,0.009999999999999985,0.5
Q1b,LM,575,0.87625,0.01305038313613816,0.5
Q1b,AL,25,0.7962499999999999,0.05507097692977674,0.5
Q1b,AL,50,0.8450000000000001,0.02250000000000001,0.5
Q1b,AL,100,0.8600000000000001,0.013462912017836259,0.5
Q1b,AL,200,0.8674999999999999,0.011456439237389593,0.5
Q1b,AL,400,0.85875,0.005728219618694831,0.5
Q1b,AL,575,0.85,0.0,0.5
Q1b,RL,25,0.825,0.04776243293635699,0.5
Q1b,RL,50,0.8525,0.021505813167606552,0.5
Q1b,RL,100,0.8775000000000001,0.012247448713915867,0.5
Q1b,RL,200,0.8724999999999999,0.012247448713915868,0.5
Q1b,RL,400,0.8699999999999999,0.011456439237389598,0.5
Q1b,RL,575,0.8675,0.008291561975888493,0.5
Q1c,V1,25,0.47352820512820515,0.03482583547552083,0.3333333333333333
Q1c,V1,50,0.5002051282051283,0.026512612209666248,0.3333333333333333
Q1c,V1,100,0.5275487179487179,0.029524540879333525,0.3333333333333333
Q1c,V1,200,0.5979897435897435,0.023533721661199804,0.3333333333333333
Q1c,V1,400,0.6183589743589744,0.012479990559513581,0.3333333333333333
Q1c,V1,575,0.6385538461538461,0.015581607188517243,0.3333333333333333
Q1c,LM,25,0.4934051282051282,0.02621583603800565,0.3333333333333333
Q1c,LM,50,0.5359384615384615,0.028128537501250155,0.3333333333333333
Q1c,LM,100,0.5389538461538461,0.020990028627306544,0.3333333333333333
Q1c,LM,200,0.6078256410256411,0.010505994031272873,0.3333333333333333
Q1c,LM,400,0.632451282051282,0.015609110777058809,0.3333333333333333
Q1c,LM,575,0.6534051282051282,0.01961443201977182,0.3333333333333333
Q1c,AL,25,0.48298461538461535,0.014719463872693895,0.3333333333333333
Q1c,AL,50,0.5144615384615384,0.02608848544814943,0.3333333333333333
Q1c,AL,100,0.5176717948717948,0.01035044584187445,0.3333333333333333
Q1c,AL,200,0.5798358974358975,0.015121663948738137,0.3333333333333333
Q1c,AL,400,0.6351384615384615,0.010220573288382363,0.3333333333333333
Q1c,AL,575,0.6355897435897436,0.0,0.3333333333333333
Q1c,RL,25,0.4983794871794872,0.03714406234543241,0.3333333333333333
Q1c,RL,50,0.5215794871794872,0.03229213137669052,0.3333333333333333
Q1c,RL,100,0.5468000000000001,0.028048311847625417,0.3333333333333333
Q1c,RL,200,0.6084820512820512,0.022739507048353178,0.3333333333333333
Q1c,RL,400,0.6503282051282051,0.022739830869100426,0.3333333333333333
Q1c,RL,575,0.6750974358974359,0.017412521283142655,0.3333333333333333
