question,area,n_neurons,acc_mean,acc_std,chance
Q1a,V1,25,0.7631023581681476,0.04211036485496106,0.5
Q1a,V1,50,0.8143344155844157,0.017002375510151747,0.5
Q1a,V1,100,0.844859022556391,0.02080013722359431,0.5
Q1a,V1,200,0.8713905502392343,0.01895671181503085,0.5
Q1a,V1,400,0.874272043745728,0.008312243246049731,0.5
Q1a,V1,575,0.8787042891319207,0.012443826854108112,0.5
Q1a,LM,25,0.7585163192071086,0.026649197987148505,0.5
Q1a,LM,50,0.7911666951469584,0.02898827202148919,0.5
Q1a,LM,100,0.8538828605604921,0.01569714087741851,0.5
Q1a,LM,200,0.8525422932330826,0.016987962676470642,0.5
Q1a,LM,400,0.8728362098427889,0.00961472172185151,0.5
Q1a,LM,575,0.8762397470950102,0.005965155141499057,0.5
Q1a,AL,25,0.7364606117566644,0.039760904437777835,0.5
Q1a,AL,50,0.7777904989747095,0.030449182011665257,0.5
Q1a,AL,100,0.8160603212576898,0.018133661312427708,0.5
Q1a,AL,200,0.8498043403964456,0.01787534513906185,0.5
Q1a,AL,400,0.862409005468216,0.007276274545237958,0.5
Q1a,AL,575,0.8627007860560493,0.0,0.5
Q1a,RL,25,0.7540503246753246,0.028901495329403278,0.5
Q1a,RL,50,0.7814221633629528,0.033898067149280044,0.5
Q1a,RL,100,0.8260663021189337,0.026803050325245117,0.5
Q1a,RL,200,0.8777225734791525,0.01525051108019925,0.5
Q1a,RL,400,0.8821672077922077,0.011456625595532323,0.5
Q1a,RL,575,0.8834086637047163,0.008507272884917837,0.5
Q1b,V1,25,0.84375,0.03174606274800073,0.5
Q1b,V1,50,0.9012500000000001,0.029288436284649957,0.5
Q1b,V1,100,0.9075,0.03363406011768426,0.5
Q1b,V1,200,0.9525,0.010897247358851687,0.5
Q1b,V1,400,0.9487500000000001,0.011792476415070752,0.5
Q1b,V1,575,0.9450000000000001,0.012747548783981964,0.5
Q1b,LM,25,0.8275,0.02839454172900136,0.5
Q1b,LM,50,0.8875,0.02795084971874737,0.5
Q1b,LM,100,0.93875,0.0205015243335709,0.5
Q1b,LM,200,0.9487499999999999,0.0180710403685012,0.5
Q1b,LM,400,0.9662499999999999,0.009762812094883321,0.5
Q1b,LM,575,0.9700000000000001,0.006123724356957924,0.5
Q1b,AL,25,0.8375,0.049371044145328745,0.5
Q1b,AL,50,0.8800000000000001,0.026925824035672515,0.5
Q1b,AL,100,0.9112500000000001,0.02465385365414503,0.5
Q1b,AL,200,0.94375,0.017897276329095442,0.5
Q1b,AL,400,0.9537500000000001,0.015860721925561892,0.5
Q1b,AL,575,0.9625,0.0,0.5
Q1b,RL,25,0.8425,0.04548351349665065,0.5
Q1b,RL,50,0.875,0.026220221204253772,0.5
Q1b,RL,100,0.93,0.018708286933869705,0.5
Q1b,RL,200,0.96125,0.0171846588560844,0.5
Q1b,RL,400,0.9550000000000001,0.008291561975888519,0.5
Q1b,RL,575,0.9650000000000001,0.010897247358851699,0.5
Q1c,V1,25,0.48151794871794873,0.028957818741614322,0.3333333333333333
Q1c,V1,50,0.4942153846153846,0.01613083913104534,0.3333333333333333
Q1c,V1,100,0.5044000000000001,0.02532483818946949,0.3333333333333333
Q1c,V1,200,0.5470358974358974,0.017106093511961542,0.3333333333333333
Q1c,V1,400,0.5993128205128204,0.021802149011328292,0.3333333333333333
Q1c,V1,575,0.6094871794871796,0.011781330018937676,0.3333333333333333
Q1c,LM,25,0.47060512820512823,0.026516587541737826,0.3333333333333333
Q1c,LM,50,0.5079999999999999,0.029609743052400696,0.3333333333333333
Q1c,LM,100,0.5463179487179488,0.020283860660320854,0.3333333333333333
Q1c,LM,200,0.5838051282051283,0.01219421619509654,0.3333333333333333
Q1c,LM,400,0.6102153846153847,0.02045742263084256,0.3333333333333333
Q1c,LM,575,0.6194769230769231,0.014549537679246575,0.3333333333333333
Q1c,AL,25,0.4500820512820513,0.0371888455065732,0.3333333333333333
Q1c,AL,50,0.5075589743589742,0.019577714121005365,0.3333333333333333
Q1c,AL,100,0.5132000000000001,0.02406277348350779,0.3333333333333333
Q1c,AL,200,0.568225641025641,0.014672317362244974,0.3333333333333333
Q1c,AL,400,0.626574358974359,0.015163709749254383,0.3333333333333333
Q1c,AL,575,0.6222564102564103,0.0,0.3333333333333333
Q1c,RL,25,0.49729230769230776,0.026390172099324243,0.3333333333333333
Q1c,RL,50,0.502174358974359,0.022344563692925826,0.3333333333333333
Q1c,RL,100,0.545374358974359,0.029101150310175235,0.3333333333333333
Q1c,RL,200,0.5955794871794872,0.023935589659208133,0.3333333333333333
Q1c,RL,400,0.6289743589743588,0.019487732785667358,0.3333333333333333
Q1c,RL,575,0.6366461538461539,0.01651811031691623,0.3333333333333333
