question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,0.005969753930280299,0.014998407145870495,0.014790561639585054,0.08874336983751033,False
Q1a,V1,AL,0.010034261790840906,0.012303653328742085,2.6474857159833638e-06,1.5884914295900182e-05,True
Q1a,V1,RL,-0.0025359706083390287,0.01573145818116209,0.3079133131955396,1.0,False
Q1a,LM,AL,0.002813568010936549,0.011393950407067178,0.13833727692149198,0.8300236615289518,False
Q1a,LM,RL,-0.009756664388243385,0.015202255671789853,4.878706765687468e-05,0.0002927224059412481,True
Q1a,AL,RL,-0.012497436773752717,0.011225178411231156,1.0156172339540976e-07,6.093703403724585e-07,True
Q1b,V1,LM,-0.008999999999999987,0.015819292019556352,0.00041216173800284793,0.0024729704280170876,True
Q1b,V1,AL,0.019000000000000027,0.014628738838327774,5.132892623186887e-09,3.079735573912132e-08,True
Q1b,V1,RL,0.003749999999999982,0.017184658856084382,0.25753823546960974,1.0,False
Q1b,LM,AL,0.02950000000000002,0.010828203913853845,3.971337339217963e-10,2.382802403530778e-09,True
Q1b,LM,RL,0.014249999999999974,0.012749999999999989,7.868702487398285e-08,4.721221492438971e-07,True
Q1b,AL,RL,-0.013750000000000049,0.007180703308172535,1.0068612351282442e-09,6.041167410769465e-09,True
Q1c,V1,LM,-0.010096410256410258,0.025624833123043474,0.010235000033251859,0.06141000019951115,False
Q1c,V1,AL,0.005355897435897415,0.019533701984390726,0.10279305987279153,0.6167583592367492,False
Q1c,V1,RL,-0.0261128205128205,0.021781234949463598,1.5578098487522565e-08,9.346859092513539e-08,True
Q1c,LM,AL,0.016818461538461508,0.013917166276213113,2.766222911334123e-08,1.659733746800474e-07,True
Q1c,LM,RL,-0.014650256410256407,0.019735554648685594,3.1893934604454444e-06,1.9136360762672666e-05,True
Q1c,AL,RL,-0.02500102564102562,0.016453335251375288,2.6247964596025672e-09,1.5748778757615404e-08,True
