question,area,observed,null_mean,null_std,p_value
Q1a,V1,0.868984962406015,0.5005807416267943,0.02715644999333726,0.0
Q1a,LM,0.8869745386192754,0.5033942669172934,0.030779539327636128,0.0
Q1a,AL,0.8627007860560493,0.4926213687628161,0.0292073590342743,0.0
Q1a,RL,0.8902981886534518,0.4945407980177716,0.029161327602155566,0.0
Q1b,V1,0.925,0.523125,0.0639671546576835,0.0
Q1b,LM,0.9625,0.53225,0.06607713295838433,0.0
Q1b,AL,0.9625,0.5321250000000001,0.05739814348042975,0.0
Q1b,RL,0.9625,0.520625,0.06435679354194086,0.0
Q1c,V1,0.6194871794871796,0.33931076923076936,0.024488081411769568,0.0
Q1c,LM,0.622051282051282,0.3328461538461539,0.03138177086154176,0.0
Q1c,AL,0.6222564102564103,0.34377230769230777,0.02956617852030497,0.0
Q1c,RL,0.645948717948718,0.3380953846153847,0.028032224361078602,0.0
