area,true,predicted,proportion
V1,Cinematic,Cinematic,0.625
V1,Cinematic,Sports1M,0.234375
V1,Cinematic,Rendered,0.140625
V1,Sports1M,Cinematic,0.1171875
V1,Sports1M,Sports1M,0.7578125
V1,Sports1M,Rendered,0.125
V1,Rendered,Cinematic,0.1015625
V1,Rendered,Sports1M,0.3125
V1,Rendered,Rendered,0.5859375
LM,Cinematic,Cinematic,0.5546875
LM,Cinematic,Sports1M,0.2578125
LM,Cinematic,Rendered,0.1875
LM,Sports1M,Cinematic,0.1484375
LM,Sports1M,Sports1M,0.765625
LM,Sports1M,Rendered,0.0859375
LM,Rendered,Cinematic,0.109375
LM,Rendered,Sports1M,0.2890625
LM,Rendered,Rendered,0.6015625
AL,Cinematic,Cinematic,0.59375
AL,Cinematic,Sports1M,0.2734375
AL,Cinematic,Rendered,0.1328125
AL,Sports1M,Cinematic,0.1328125
AL,Sports1M,Sports1M,0.75
AL,Sports1M,Rendered,0.1171875
AL,Rendered,Cinematic,0.1171875
AL,Rendered,Sports1M,0.3203125
AL,Rendered,Rendered,0.5625
RL,Cinematic,Cinematic,0.625
RL,Cinematic,Sports1M,0.2578125
RL,Cinematic,Rendered,0.1171875
RL,Sports1M,Cinematic,0.109375
RL,Sports1M,Sports1M,0.734375
RL,Sports1M,Rendered,0.15625
RL,Rendered,Cinematic,0.140625
RL,Rendered,Sports1M,0.3125
RL,Rendered,Rendered,0.546875
