area,true,predicted,proportion
V1,Cinematic,Cinematic,0.640625
V1,Cinematic,Sports1M,0.234375
V1,Cinematic,Rendered,0.125
V1,Sports1M,Cinematic,0.1328125
V1,Sports1M,Sports1M,0.7265625
V1,Sports1M,Rendered,0.140625
V1,Rendered,Cinematic,0.1328125
V1,Rendered,Sports1M,0.3515625
V1,Rendered,Rendered,0.515625
LM,Cinematic,Cinematic,0.5703125
LM,Cinematic,Sports1M,0.2265625
LM,Cinematic,Rendered,0.203125
LM,Sports1M,Cinematic,0.140625
LM,Sports1M,Sports1M,0.7421875
LM,Sports1M,Rendered,0.1171875
LM,Rendered,Cinematic,0.1328125
LM,Rendered,Sports1M,0.3125
LM,Rendered,Rendered,0.5546875
AL,Cinematic,Cinematic,0.609375
AL,Cinematic,Sports1M,0.21875
AL,Cinematic,Rendered,0.171875
AL,Sports1M,Cinematic,0.140625
AL,Sports1M,Sports1M,0.7109375
AL,Sports1M,Rendered,0.1484375
AL,Rendered,Cinematic,0.125
AL,Rendered,Sports1M,0.328125
AL,Rendered,Rendered,0.546875
RL,Cinematic,Cinematic,0.6015625
RL,Cinematic,Sports1M,0.2421875
RL,Cinematic,Rendered,0.15625
RL,Sports1M,Cinematic,0.1171875
RL,Sports1M,Sports1M,0.6953125
RL,Sports1M,Rendered,0.1875
RL,Rendered,Cinematic,0.1484375
RL,Rendered,Sports1M,0.3203125
RL,Rendered,Rendered,0.53125
