question,area_a,area_b,mean_diff,std_diff,p_raw,p_bonferroni,significant
Q1a,V1,LM,-0.005248034859876937,0.00980543424704731,0.0020734592626350883,0.012440755575810529,True
Q1a,V1,AL,0.016543489405331374,0.007729538706206932,7.504124557143965e-10,4.502474734286379e-09,True
Q1a,V1,RL,0.00766789131920713,0.011398351389897303,6.776068079422417e-05,0.000406564084765345,True
Q1a,LM,AL,0.023129955570744886,0.006010039885079177,7.443218829721583e-10,4.46593129783295e-09,True
Q1a,LM,RL,0.01425435748462064,0.010491264316249062,1.193680681290133e-08,7.162084087740798e-08,True
Q1a,AL,RL,-0.008259996582364855,0.009355305837267808,1.4861836488209602e-06,8.91710189292576e-06,True
Q1b,V1,LM,0.00649999999999999,0.009433981132056594,6.93576263937133e-05,0.0004161457583622798,True
Q1b,V1,AL,-0.002499999999999991,0.004999999999999982,0.001565402258002548,0.009392413548015288,True
Q1b,V1,RL,0.018749999999999992,0.011524430571616121,2.8879913892315027e-09,1.7327948335389016e-08,True
Q1b,LM,AL,-0.008999999999999977,0.008306623862918066,1.1927550251640132e-07,7.15653015098408e-07,True
Q1b,LM,RL,0.012250000000000007,0.015307269514841636,5.580945424254091e-06,3.348567254552454e-05,True
Q1b,AL,RL,0.02149999999999999,0.00902773504263391,3.578211896142745e-10,2.146927137685647e-09,True
Q1c,V1,LM,-0.012882051282051261,0.03139031287315913,0.012077161661413866,0.0724629699684832,False
Q1c,V1,AL,0.013887179487179374,0.021736912375768132,0.0002583789675231856,0.0015502738051391138,True
Q1c,V1,RL,0.004867692307692318,0.030560352273787072,0.334377802878829,1.0,False
Q1c,LM,AL,0.03143794871794859,0.019331080491744472,1.3019482589527438e-09,7.811689553716463e-09,True
Q1c,LM,RL,0.022418461538461533,0.028497004209481158,8.201064488150024e-06,4.9206386928900144e-05,True
Q1c,AL,RL,-0.0063692307692306445,0.018606521871302857,0.01364685170499553,0.08188111022997319,False
