area,true,predicted,proportion
V1,Cinematic,Cinematic,0.7421875
V1,Cinematic,Sports1M,0.0859375
V1,Cinematic,Rendered,0.171875
V1,Sports1M,Cinematic,0.0859375
V1,Sports1M,Sports1M,0.7578125
V1,Sports1M,Rendered,0.15625
V1,Rendered,Cinematic,0.2109375
V1,Rendered,Sports1M,0.1640625
V1,Rendered,Rendered,0.625
LM,Cinematic,Cinematic,0.78125
LM,Cinematic,Sports1M,0.0859375
LM,Cinematic,Rendered,0.1328125
LM,Sports1M,Cinematic,0.1171875
LM,Sports1M,Sports1M,0.7421875
LM,Sports1M,Rendered,0.140625
LM,Rendered,Cinematic,0.1796875
LM,Rendered,Sports1M,0.15625
LM,Rendered,Rendered,0.6640625
AL,Cinematic,Cinematic,0.6875
AL,Cinematic,Sports1M,0.1015625
AL,Cinematic,Rendered,0.2109375
AL,Sports1M,Cinematic,0.1015625
AL,Sports1M,Sports1M,0.7109375
AL,Sports1M,Rendered,0.1875
AL,Rendered,Cinematic,0.1875
AL,Rendered,Sports1M,0.171875
AL,Rendered,Rendered,0.640625
RL,Cinematic,Cinematic,0.71875
RL,Cinematic,Sports1M,0.1328125
RL,Cinematic,Rendered,0.1484375
RL,Sports1M,Cinematic,0.0859375
RL,Sports1M,Sports1M,0.71875
RL,Sports1M,Rendered,0.1953125
RL,Rendered,Cinematic,0.1640625
RL,Rendered,Sports1M,0.1640625
RL,Rendered,Rendered,0.671875
